id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I6354,1400,1225,100,278.5,0,2,n,100
I5436,1400,1200,100,179.4,0,3,n,100
I6979,1400,1200,100,179.4,0,3,n,100
I5347,1600,1200,100,207.72,0,4,n,100
I4071,1400,1200,100,179.4,0,3,n,100
I7036,1600,1200,100,303.92,0,4,n,100
I3209,1200,1000,100,229.88,0,1,n,100
I0472,1200,1000,100,229.88,0,1,n,100
I1664,1600,1200,100,207.72,0,4,n,100
I4356,1200,1000,100,305.32,0,1,n,100
I4265,1400,1225,100,278.5,0,2,n,100
I5899,1400,1225,100,317.0,0,2,n,100
I4927,1400,1200,100,179.4,0,3,n,100
I2930,1400,1225,100,278.5,0,2,n,100
I6571,1200,1000,100,246.0,0,1,n,100
I1462,1200,1000,100,293.32,0,1,n,100
I1065,1200,1000,100,164.04,0,6,n,100
I4994,1400,1200,100,179.4,0,3,n,100
I1899,1200,1000,100,156.15,0,1,n,100
I7311,780,570,100,270.08,0,0,w,4
