id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I7060,1600,1200,100,207.72,0,4,n,100
I5972,1400,1225,100,278.5,0,2,n,100
I4439,1600,1200,100,207.72,0,4,n,100
I6641,1400,1200,100,179.4,0,3,n,100
I4170,1400,1225,100,278.5,0,2,n,100
I2634,1200,1000,100,527.4,0,1,n,100
I0594,1200,1000,100,351.944,0,1,n,100
I0376,1600,1200,100,303.92,0,4,n,100
I1168,1600,1200,100,180.2,0,4,n,100
I1265,1200,1000,100,169.0,0,1,n,100
I7450,1200,1000,100,267.8,0,1,n,100
I4288,1400,1225,100,317.0,0,2,n,100
I5692,1400,1225,100,317.0,0,2,n,100
I4167,1400,1225,100,278.5,0,2,n,100
I3593,1400,1225,100,278.5,0,2,n,100
I3331,1400,1225,100,317.0,0,2,n,100
I7150,1400,1225,100,317.0,0,2,n,100
I7932,1200,1000,100,293.32,0,1,n,100
I7521,1200,1000,100,183.84,0,1,n,100
I8232,1600,1200,100,205.16,0,4,n,100
I3944,1400,1200,100,179.4,0,3,n,100
I7503,780,570,100,82.32,0,0,w,4
I3492,1400,1225,100,317.0,0,2,n,100
I0299,1400,1200,100,179.4,0,3,n,100
I8122,1600,1200,100,303.92,0,4,n,100
I4966,1200,1000,100,577.8,0,1,n,100
I4633,1400,1200,100,179.4,0,3,n,100
I3320,1200,1000,100,164.04,0,6,n,100
I2046,1200,1000,100,527.4,0,1,n,100
I4317,1600,1200,100,207.72,0,4,n,100
I0810,1200,1000,100,729.5,0,1,n,100
I3888,1400,1225,100,278.5,0,2,n,100
I7583,1200,1000,100,248.88,0,1,n,100
I0408,780,570,100,82.32,0,0,w,4
I3437,1200,1000,100,690.5,0,1,n,100
I2780,1600,1200,100,207.72,0,4,n,100
I1712,1400,1225,100,317.0,0,2,n,100
I8018,1200,1000,100,229.88,0,1,n,100
I7722,1200,1000,100,577.8,0,1,n,100
I7171,1600,1200,100,454.873,0,4,n,100
I6593,1600,1200,100,205.16,0,4,n,100
I0751,1400,1200,100,179.4,0,3,n,100
I3151,1400,1225,100,278.5,0,2,n,100
I0481,1200,1000,100,165.375,0,1,n,100
I4712,1400,1200,100,179.4,0,3,n,100
I7046,1200,1000,100,183.84,0,1,n,100
I4307,1600,1200,100,207.72,0,4,n,100
I2694,1400,1200,100,179.4,0,3,n,100
I3834,1600,1200,100,303.92,0,4,n,100
I3068,1200,1000,100,293.32,0,1,n,100
