id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I19415,1600,1200,100,197.34,0,0,n,100
I24600,1200,1000,100,109.48,0,1,n,100
I35570,1600,1200,100,356.56,0,0,n,100
I09916,1200,1000,100,129.0,0,2,n,100
I10210,1600,1200,100,166.392,0,0,n,100
I11537,1600,1200,100,155.8,0,0,n,100
I31950,1200,1000,100,131.366,0,2,n,100
I26671,1910,1200,100,613.59,0,19,n,100
I20981,1600,1200,100,149.212,0,0,n,100
I22086,1200,1000,100,131.366,0,2,n,100
I04993,2050,1550,100,215.582,0,7,n,100
I06728,1200,1000,100,129.0,0,2,n,100
I30507,1600,1200,100,177.76,0,0,n,100
I20376,1400,1200,100,179.4,0,12,n,100
I16633,1200,1000,100,131.366,0,2,n,100
I26163,1600,1200,100,169.96,0,0,n,100
I35554,1200,1000,100,160.68,0,2,n,100
I45206,1200,1000,100,168.796,0,2,n,100
I45490,2050,1600,100,258.56,0,14,n,100
I13299,1200,1000,100,129.0,0,2,n,100
I11592,1600,1200,100,149.212,0,0,n,100
I20879,1200,1000,100,105.224,0,2,n,100
I48331,1200,1000,100,72.7,0,1,n,100
I09554,1600,1200,100,137.391,0,0,n,100
I25181,1200,1000,100,129.0,0,2,n,100
I14764,1600,1200,100,176.2,0,0,n,100
I42062,1600,1200,100,176.2,0,0,n,100
I44628,1600,1200,100,169.96,0,0,n,100
I00728,1200,1000,100,168.796,0,2,n,100
I48377,1200,1000,100,105.224,0,2,n,100
I12259,1200,1000,100,129.0,0,2,n,100
I31527,1800,1400,100,303.45,0,11,n,100
I11352,1900,1200,100,177.104,0,6,n,100
I09016,1200,1000,100,129.2,0,2,n,100
I40979,1200,1000,100,47.02,0,1,n,100
I09184,1600,1200,100,155.64,0,0,n,100
I49983,1200,1000,100,222.94,0,2,n,100
I07915,1600,1200,100,205.16,0,0,n,100
I49262,1400,1200,100,179.4,0,12,n,100
I13947,1200,1000,100,88.47,0,1,n,100
I44403,1200,1000,100,106.03,0,2,n,100
I05990,1600,1200,100,169.96,0,0,n,100
I34222,1600,1200,100,169.96,0,0,n,100
I02672,1200,1000,100,106.03,0,2,n,100
I31867,1200,1000,100,129.0,0,2,n,100
I15368,1600,1200,100,607.6,0,0,n,100
I32775,1200,1000,100,28.224,0,1,n,100
I13238,1200,1000,100,131.366,0,2,n,100
I49680,2050,1550,100,215.582,0,7,n,100
I39901,1200,1000,100,291.48,0,2,n,100
