id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I00122,1600,1200,100,137.391,0,0,n,100
I08531,2050,1550,100,215.582,0,7,n,100
I00341,1600,1200,100,356.56,0,0,n,100
I38068,2000,1200,100,408.88,0,5,n,100
I00862,780,570,100,100.96,0,8,w,4
I01486,1800,1400,100,201.008,0,11,n,3
I04144,1800,1400,100,201.008,0,11,n,3
I09596,780,570,100,100.96,0,8,w,4
I16060,2030,1530,100,245.36,0,13,n,100
I04194,1800,1400,100,201.008,0,11,n,3
I34612,1910,1200,100,613.59,0,19,n,100
I28570,2000,1200,100,367.608,0,22,n,100
I00129,1200,1000,100,88.47,0,1,n,100
I01475,1800,1400,100,201.008,0,11,n,3
I00787,2050,1600,100,258.56,0,14,n,100
I07965,1900,1200,100,257.46,0,6,n,100
I16987,1800,1200,100,249.0,0,9,n,100
I02814,1800,1400,100,303.45,0,11,n,100
I00342,1600,1200,100,356.56,0,0,n,100
I21304,2030,1530,100,245.764,0,13,n,100
I11109,1900,1200,100,713.62,0,6,n,100
I21546,2030,1530,100,294.22,0,13,n,100
I05253,1400,1200,100,179.4,0,12,n,100
I05543,1800,1200,100,249.0,0,9,n,100
I06161,2000,1200,100,408.88,0,5,n,100
I01197,1400,1200,100,179.4,0,12,n,100
I04826,2030,1530,100,245.36,0,13,n,100
I00318,2050,1000,100,286.656,0,4,n,100
I00186,1200,1000,100,105.224,0,2,n,100
I00074,1200,1000,100,149.31,0,2,n,100
I38718,2000,1200,100,367.608,0,22,n,100
I07393,1900,1200,100,257.46,0,6,n,100
I00233,1200,1000,100,140.0,0,2,n,100
I16344,2000,1200,100,408.88,0,5,n,100
I00066,1600,1200,100,207.72,0,0,n,100
I07391,2050,1600,100,258.56,0,14,n,100
I04778,1800,1400,100,303.45,0,11,n,100
I00063,1200,1000,100,223.3,0,2,n,100
I03123,1400,1200,100,179.4,0,12,n,100
I03853,2050,1600,100,258.56,0,14,n,100
I04775,1800,1400,100,303.45,0,11,n,100
I03964,1800,1200,100,249.0,0,9,n,100
I06877,2050,1550,100,215.582,0,7,n,100
I16061,2030,1530,100,245.36,0,13,n,100
I16196,2050,1600,100,258.56,0,14,n,100
I20368,2030,1530,100,245.764,0,13,n,100
I00364,1800,1400,100,201.008,0,11,n,3
I03162,2050,1000,100,272.592,0,4,n,100
I18192,1910,1200,100,613.59,0,19,n,100
I07754,1800,1200,100,249.0,0,9,n,100
