id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I44243,1600,1200,100,551.56,0,0,n,100
I34611,1910,1200,100,613.59,0,19,n,100
I01447,1200,1000,100,340.1,0,2,n,100
I17331,2000,1200,100,408.88,0,5,n,100
I21936,1600,1200,100,551.56,0,0,n,100
I11116,1600,1200,100,370.78,0,0,n,100
I12671,1200,1000,100,414.14,0,2,n,100
I30596,1600,1200,100,356.2,0,0,n,100
I13364,1600,1200,100,307.13,0,0,n,100
I06803,1910,1200,100,613.59,0,19,n,100
I23822,1600,1200,100,547.3,0,0,n,100
I37807,1600,1200,100,607.6,0,0,n,100
I45791,1600,1200,100,460.0,0,0,n,100
I14264,1600,1200,100,356.2,0,0,n,100
I32632,1600,1200,100,338.52,0,0,n,100
I05321,1600,1200,100,551.56,0,0,n,100
I41246,1800,1400,100,303.45,0,11,n,100
I24662,1600,1200,100,663.22,0,0,n,100
I12981,1600,1200,100,370.78,0,0,n,100
I11792,1200,1000,100,329.77,0,2,n,100
I49717,1910,1200,100,613.59,0,19,n,100
I45017,1800,1400,100,303.45,0,11,n,100
I22010,1800,1400,100,303.45,0,11,n,100
I22239,1200,1000,100,329.77,0,2,n,100
I49582,1600,1200,100,607.6,0,0,n,100
I11874,1600,1200,100,438.4,0,0,n,100
I41789,1600,1200,100,370.78,0,0,n,100
I18183,1910,1200,100,613.59,0,19,n,100
I08797,1600,1200,100,551.56,0,0,n,100
I11477,1600,1200,100,356.2,0,0,n,100
I50007,1600,1200,100,454.873,0,0,n,100
I45875,1600,1200,100,438.4,0,0,n,100
I04193,1600,1200,100,364.84,0,0,n,100
I45632,1800,1400,100,303.45,0,11,n,100
I05496,1600,1200,100,663.22,0,0,n,100
I36841,1600,1200,100,663.22,0,0,n,100
I35762,1910,1200,100,613.59,0,19,n,100
I09093,1200,1000,100,347.0,0,2,n,100
I39180,1600,1200,100,307.13,0,0,n,100
I34296,1600,1200,100,358.48,0,0,n,100
I41019,1600,1200,100,356.2,0,0,n,100
I01757,1600,1200,100,438.4,0,0,n,100
I35757,1910,1200,100,613.59,0,19,n,100
I43219,1600,1200,100,338.16,0,0,n,100
I11843,1600,1200,100,663.22,0,0,n,100
I13599,1910,1200,100,613.59,0,19,n,100
I40561,1600,1200,100,356.2,0,0,n,100
I26596,1600,1200,100,547.3,0,0,n,100
I29046,2000,1200,100,367.608,0,22,n,100
I18201,1910,1200,100,613.59,0,19,n,100
