id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I34,800,1200,100,100,0,1,n,100
I24,950,800,100,100,0,0,n,100
I09,950,800,100,100,0,0,n,100
I41,800,1200,100,200,0,1,n,100
I29,800,1200,100,100,0,1,n,100
I21,950,800,100,100,0,0,n,100
I23,950,800,100,100,0,0,n,100
I20,950,800,100,200,0,0,n,100
I28,800,1200,100,200,0,1,n,100
I45,800,1200,100,100,0,1,n,100
I27,800,1200,100,200,0,1,n,100
I46,800,1200,100,200,0,1,n,100
I26,800,1200,100,100,0,1,n,100
I31,800,1200,100,100,0,1,n,100
I11,950,800,100,200,0,0,n,100
I39,800,1200,100,200,0,1,n,100
I36,800,1200,100,100,0,1,n,100
I38,800,1200,100,200,0,1,n,100
I03,950,800,100,200,0,0,n,100
I40,800,1200,100,100,0,1,n,100
I06,950,800,100,200,0,0,n,100
I08,950,800,100,100,0,0,n,100
I04,950,800,100,100,0,0,n,100
I19,950,800,100,200,0,0,n,100
I47,800,1200,100,100,0,1,n,100
I12,950,800,100,100,0,0,n,100
I10,950,800,100,100,0,0,n,100
I14,950,800,100,200,0,0,n,100
I07,950,800,100,200,0,0,n,100
I01,950,800,100,200,0,0,n,100
I16,950,800,100,100,0,0,n,100
I18,950,800,100,200,0,0,n,100
I17,950,800,100,100,0,0,n,100
I30,800,1200,100,100,0,1,n,100
I25,800,1200,100,100,0,1,n,100
I37,800,1200,100,200,0,1,n,100
I49,800,1200,100,200,0,1,n,100
I35,800,1200,100,200,0,1,n,100
I44,800,1200,100,100,0,1,n,100
I02,950,800,100,100,0,0,n,100
I00,950,800,100,100,0,0,n,100
I33,800,1200,100,200,0,1,n,100
I05,950,800,100,200,0,0,n,100
I22,950,800,100,100,0,0,n,100
I13,950,800,100,100,0,0,n,100
I15,950,800,100,100,0,0,n,100
I48,800,1200,100,200,0,1,n,100
I43,800,1200,100,200,0,1,n,100
I42,800,1200,100,200,0,1,n,100
I32,800,1200,100,200,0,1,n,100
