id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I3039,1500,1000,100,1027.0,0,1,n,4
I3146,1500,800,100,471.0,0,0,n,4
I2665,1500,800,100,646.0,0,0,n,4
I1386,1500,800,100,0.0,0,0,n,4
I0218,1500,800,100,0.0,0,0,n,4
I4484,1500,800,100,504.0,0,0,n,4
I3484,1500,800,100,0.0,0,0,n,4
I4778,1500,800,100,729.0,0,0,n,4
I4680,1500,1000,100,836.0,0,1,n,4
I0794,1500,800,100,755.0,0,0,n,4
I2004,1500,800,100,610.0,0,0,n,4
I2938,1500,1000,100,0.0,0,1,n,4
I2179,1500,800,100,475.0,0,0,n,4
I0019,1500,1000,100,0.0,0,1,n,4
I1120,1500,1000,100,856.0,0,1,n,4
I1774,1500,1000,100,0.0,0,1,n,4
I3923,1500,1000,100,0.0,0,1,n,4
I1304,1500,1000,100,562.0,0,1,n,4
I2094,1500,800,100,0.0,0,0,n,4
I1117,1500,1000,100,0.0,0,1,n,4
I4826,1500,1000,100,586.0,0,1,n,4
I4795,1500,800,100,0.0,0,0,n,4
I2613,1500,800,100,813.0,0,0,n,4
I3199,1500,800,100,824.0,0,0,n,4
I1678,1500,1000,100,717.0,0,1,n,4
I1258,1500,800,100,632.0,0,0,n,4
I1514,1500,1000,100,582.0,0,1,n,4
I3627,1500,800,100,621.0,0,0,n,4
I1637,1500,1000,100,703.0,0,1,n,4
I0354,1500,1000,100,0.0,0,1,n,4
I4931,1500,800,100,821.0,0,0,n,4
I3093,1500,1000,100,1021.0,0,1,n,4
I4225,1500,800,100,681.0,0,0,n,4
I3160,1500,800,100,821.0,0,0,n,4
I2593,1500,800,100,711.0,0,0,n,4
I1813,1500,800,100,715.0,0,0,n,4
I0600,1500,800,100,712.0,0,0,n,4
I4710,1500,1000,100,744.0,0,1,n,4
I3620,1500,800,100,757.0,0,0,n,4
I2305,1500,1000,100,1242.0,0,1,n,4
I4691,1500,800,100,508.0,0,0,n,4
I2847,1500,800,100,1022.0,0,0,n,4
I1496,1500,1000,100,1132.0,0,1,n,4
I4424,1500,1000,100,0.0,0,1,n,4
I4446,1500,800,100,0.0,0,0,n,4
I3232,1500,1000,100,878.0,0,1,n,4
I2549,1500,1000,100,663.0,0,1,n,4
I2867,1500,1000,100,630.0,0,1,n,4
I2679,1500,800,100,686.0,0,0,n,4
I3800,1500,800,100,679.0,0,0,n,4
