id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0723,1500,1000,100,1288.0,0,1,n,4
I3357,1500,1000,100,1137.0,0,1,n,4
I2465,1500,1000,100,0.0,0,1,n,4
I4800,1500,1000,100,0.0,0,1,n,4
I4991,1500,1000,100,0.0,0,1,n,4
I3641,1500,1000,100,1297.0,0,1,n,4
I2443,1500,800,100,0.0,0,0,n,4
I0891,1500,800,100,892.0,0,0,n,4
I0738,1500,800,100,1291.0,0,0,n,4
I0026,1500,1000,100,0.0,0,1,n,4
I0817,1500,800,100,1141.0,0,0,n,4
I3032,1500,800,100,1438.0,0,0,n,4
I2223,1500,800,100,1263.0,0,0,n,4
I0403,1500,800,100,949.0,0,0,n,4
I1336,1500,1000,100,1033.0,0,1,n,4
I0936,1500,800,100,1047.0,0,0,n,4
I0388,1500,800,100,0.0,0,0,n,4
I3463,1500,1000,100,735.0,0,1,n,4
I2168,1500,1000,100,893.0,0,1,n,4
I3682,1500,1000,100,0.0,0,1,n,4
I3408,1500,800,100,853.0,0,0,n,4
I1089,1500,800,100,1305.0,0,0,n,4
I4626,1500,1000,100,1159.0,0,1,n,4
I0496,1500,1000,100,1024.0,0,1,n,4
I3932,1500,1000,100,1465.0,0,1,n,4
I0017,1500,800,100,1040.0,0,0,n,4
I3497,1500,800,100,0.0,0,0,n,4
I1180,1500,1000,100,1467.0,0,1,n,4
I2024,1500,800,100,1095.0,0,0,n,4
I1647,1500,1000,100,996.0,0,1,n,4
I4999,1500,800,100,0.0,0,0,n,4
I1197,1500,1000,100,1351.0,0,1,n,4
I4516,1500,1000,100,1047.0,0,1,n,4
I2382,1500,800,100,1003.0,0,0,n,4
I3571,1500,1000,100,1231.0,0,1,n,4
I2326,1500,800,100,0.0,0,0,n,4
I3071,1500,800,100,1274.0,0,0,n,4
I3596,1500,1000,100,0.0,0,1,n,4
I0921,1500,1000,100,0.0,0,1,n,4
I1573,1500,1000,100,930.0,0,1,n,4
I1768,1500,1000,100,0.0,0,1,n,4
I4412,1500,800,100,1095.0,0,0,n,4
I2671,1500,1000,100,1095.0,0,1,n,4
I1066,1500,1000,100,1229.0,0,1,n,4
I0119,1500,800,100,0.0,0,0,n,4
I1200,1500,800,100,1119.0,0,0,n,4
I2077,1500,800,100,1186.0,0,0,n,4
I0823,1500,800,100,0.0,0,0,n,4
I4678,1500,1000,100,1092.0,0,1,n,4
I4546,1500,1000,100,1163.0,0,1,n,4
