id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I1673,1500,800,100,222.0,0,5,n,4
I1915,1200,1000,100,0.0,0,6,l,4
I3878,1200,1000,100,256.0,0,6,n,4
I3262,1500,1000,100,347.0,0,7,l,4
I3908,1000,800,100,185.0,0,3,n,4
I1184,1500,1000,100,170.0,0,7,n,4
I2545,1200,1000,100,185.0,0,6,n,4
I0333,1500,1000,100,314.0,0,7,n,4
I0714,1500,1000,100,302.0,0,7,n,4
I1388,1200,800,100,0.0,0,4,n,4
I5245,800,600,100,342.0,0,2,n,3
I0802,800,460,100,329.0,0,0,n,3
I2309,1000,800,100,352.0,0,3,n,4
I2156,800,600,100,277.0,0,2,n,3
I5766,1000,800,100,278.0,0,3,n,4
I3001,800,460,100,199.0,0,0,w,3
I2000,800,600,100,364.0,0,2,n,3
I4570,800,460,100,459.0,0,0,n,3
I2686,1500,1000,100,408.0,0,7,n,4
I3054,1000,800,100,370.0,0,3,n,4
I2116,1500,1000,100,225.0,0,7,n,4
I0578,1500,800,100,410.0,0,5,n,4
I5757,1200,1000,100,213.0,0,6,n,4
I4724,800,460,100,189.0,0,0,w,3
I4234,1200,800,100,391.0,0,4,l,4
I5846,1500,800,100,354.0,0,5,n,4
I5224,1000,800,100,333.0,0,3,n,4
I1278,1000,800,100,376.0,0,3,w,4
I4093,1200,1000,100,109.0,0,6,n,4
I5378,800,460,100,272.0,0,0,n,3
I5925,1500,1000,100,285.0,0,7,n,4
I4055,1200,1000,100,256.0,0,6,n,4
I2550,1500,800,100,193.0,0,5,n,4
I5131,1500,1000,100,358.0,0,7,n,4
I5417,800,600,100,243.0,0,2,n,3
I0276,1000,800,100,136.0,0,3,n,4
I2865,800,600,100,203.0,0,2,n,3
I2444,1200,800,100,357.0,0,4,n,4
I4063,800,460,100,311.0,0,0,n,3
I0648,1200,800,100,423.0,0,4,n,4
I2014,1200,800,100,322.0,0,4,n,4
I5325,1200,800,100,386.0,0,4,n,4
I0328,1500,800,100,410.0,0,5,n,4
I2443,1000,800,100,257.0,0,3,n,4
I3019,1000,800,100,350.0,0,3,n,4
I3543,1500,1000,100,168.0,0,7,n,4
I2435,1500,1000,100,255.0,0,7,l,4
I0366,1500,800,100,104.0,0,5,n,4
I2364,800,460,100,216.0,0,0,n,3
I2131,1000,800,100,148.0,0,3,n,4
