id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0483,800,800,100,9.0,0,1,n,3
I3835,600,600,100,244.0,0,3,n,10
I2305,1200,1200,100,6.0,0,2,n,3
I3515,800,1200,100,13.0,0,0,n,3
I1779,800,800,100,9.0,0,1,n,3
I1254,1200,1200,100,7.0,0,2,n,3
I1066,800,1200,100,12.0,0,0,n,3
I1326,800,1200,100,411.0,0,0,n,10
I1853,1200,1200,100,274.0,0,2,n,10
I1040,1200,1200,100,480.0,0,2,n,10
I2747,1200,1200,100,310.0,0,2,n,10
I3470,800,1200,100,688.0,0,0,n,10
I2159,600,600,100,6.0,0,3,n,3
I2220,800,800,100,5.0,0,1,n,3
I0354,1200,1200,100,537.0,0,2,n,10
I3897,1200,1200,100,17.0,0,2,n,3
I0346,1200,1200,100,275.0,0,2,n,10
I1535,800,800,100,323.0,0,1,n,10
I3146,600,600,100,9.0,0,3,n,3
I0320,800,1200,100,20.0,0,0,n,3
I2163,1200,1200,100,11.0,0,2,n,3
I1840,600,600,100,12.0,0,3,n,3
I2425,1200,1200,100,406.0,0,2,n,10
I3191,1200,1200,100,14.0,0,2,n,3
I1045,800,800,100,12.0,0,1,n,3
I2862,800,1200,100,5.0,0,0,n,3
I1770,600,600,100,185.0,0,3,n,10
I1207,600,600,100,258.0,0,3,n,10
I2691,800,800,100,7.0,0,1,n,3
I0252,800,1200,100,374.0,0,0,n,10
I3076,800,800,100,19.0,0,1,n,3
I3662,600,600,100,645.0,0,3,n,10
I3319,800,1200,100,595.0,0,0,n,10
I3611,600,600,100,279.0,0,3,n,10
I0444,800,800,100,436.0,0,1,n,10
I3471,1200,1200,100,16.0,0,2,n,3
I0917,1200,1200,100,18.0,0,2,n,3
I1164,800,1200,100,10.0,0,0,n,3
I2661,800,800,100,495.0,0,1,n,10
I3004,800,1200,100,337.0,0,0,n,10
I1458,600,600,100,215.0,0,3,n,10
I2175,600,600,100,13.0,0,3,n,3
I2464,800,800,100,655.0,0,1,n,10
I1538,800,1200,100,353.0,0,0,n,10
I1996,800,1200,100,8.0,0,0,n,3
I3060,600,600,100,18.0,0,3,n,3
I2168,800,1200,100,531.0,0,0,n,10
I0812,800,1200,100,8.0,0,0,n,3
I2272,800,1200,100,17.0,0,0,n,3
I3414,800,800,100,5.0,0,1,n,3
