id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I01,31,43,1,1,0,1,l,1
I02,31,43,1,1,0,2,l,1
I03,31,43,1,1,0,3,l,1
I04,31,43,1,1,0,4,l,1
I05,30,41,1,1,0,5,l,1
I06,30,41,1,1,0,6,l,1
I07,29,39,1,1,0,7,l,1
I08,29,39,1,1,0,8,l,1
I09,29,39,1,1,0,9,l,1
I10,29,39,1,1,0,10,l,1
I11,28,38,1,1,0,11,l,1
I12,28,38,1,1,0,12,l,1
I13,28,38,1,1,0,13,l,1
I14,28,38,1,1,0,14,l,1
I15,27,37,1,1,0,15,l,1
I16,27,37,1,1,0,16,l,1
I17,27,37,1,1,0,17,l,1
I18,26,36,1,1,0,18,l,1
I19,26,36,1,1,0,19,l,1
I20,26,36,1,1,0,20,l,1
I21,26,36,1,1,0,21,l,1
I22,25,35,1,1,0,22,l,1
I23,25,35,1,1,0,23,l,1
I24,25,35,1,1,0,24,l,1
I25,24,34,1,1,0,25,l,1
I26,24,34,1,1,0,26,l,1
I27,24,34,1,1,0,27,l,1
I28,24,34,1,1,0,28,l,1
I29,33,23,1,1,0,29,l,1
I30,33,23,1,1,0,30,l,1
I31,33,23,1,1,0,31,l,1
I32,33,23,1,1,0,32,l,1
I33,22,32,1,1,0,33,l,1
I34,22,32,1,1,0,34,l,1
I35,22,32,1,1,0,35,l,1
I36,31,21,1,1,0,36,l,1
I37,31,21,1,1,0,37,l,1
I38,31,21,1,1,0,38,l,1
I39,29,18,1,1,0,39,l,1
I40,29,18,1,1,0,40,l,1
I41,29,18,1,1,0,41,l,1
I42,17,27,1,1,0,42,l,1
I43,17,27,1,1,0,43,l,1
I44,15,24,1,1,0,44,l,1
I45,15,24,1,1,0,45,l,1
I46,15,24,1,1,0,46,l,1
I47,16,25,1,1,0,47,l,1
I48,16,25,1,1,0,48,l,1
I49,16,25,1,1,0,49,l,1
I50,16,25,1,1,0,50,l,1
I51,23,14,1,1,0,51,l,1
I52,23,14,1,1,0,52,l,1
I53,23,14,1,1,0,53,l,1
I54,23,14,1,1,0,54,l,1
I55,21,12,1,1,0,55,l,1
I56,21,12,1,1,0,56,l,1
I57,21,12,1,1,0,57,l,1
I58,19,11,1,1,0,58,l,1
I59,19,11,1,1,0,59,l,1
I60,19,11,1,1,0,60,l,1
I61,19,11,1,1,0,61,l,1
I62,9,17,1,1,0,62,l,1
