,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
3322,I3322,1400,1225,1160,317.0,0,2,n,100
206,I0206,1600,1200,930,438.4,45,4,n,100
4917,I4917,1400,1200,1450,179.4,45,3,n,100
3809,I3809,1400,1200,1450,179.4,45,3,n,100
4318,I4318,1600,1200,1350,207.72,45,4,n,100
3041,I3041,780,570,478,96.256,47,0,w,4
4938,I4938,780,570,478,104.768,47,0,w,4
6747,I6747,1600,1200,930,547.3,45,4,n,100
3207,I3207,1200,1000,750,229.88,45,1,n,100
3877,I3877,1200,1000,975,293.32,45,1,n,100
4815,I4815,1200,1000,975,165.375,45,1,n,100
3898,I3898,1400,1225,1160,317.0,0,2,n,100
3086,I3086,1600,1200,1350,303.92,45,4,n,100
2754,I2754,1600,1200,1350,303.92,45,4,n,100
1240,I1240,1400,1200,1450,179.4,45,3,n,100
6791,I6791,1600,1200,930,438.4,45,4,n,100
7575,I7575,1600,1200,1350,303.92,45,4,n,100
7218,I7218,1600,1200,1350,303.92,45,4,n,100
8073,I8073,1600,1200,1350,207.72,45,4,n,100
5229,I5229,1600,1200,1350,207.72,45,4,n,100
3920,I3920,1400,1225,1160,278.5,0,2,n,100
7731,I7731,780,570,478,81.72,47,0,w,4
1599,I1599,1200,1000,975,225.6,45,1,n,100
5183,I5183,1200,1000,750,405.72,45,1,n,100
1200,I1200,1600,1200,975,180.2,45,4,n,100
5054,I5054,780,570,478,100.96,47,0,w,4
5542,I5542,1600,1200,1350,205.16,45,4,n,100
5704,I5704,1400,1225,1160,317.0,0,2,n,100
5990,I5990,1600,1200,1350,207.72,45,4,n,100
5600,I5600,1200,1000,1057,179.85,0,6,n,100
5952,I5952,1400,1225,1160,317.0,0,2,n,100
5384,I5384,1200,1000,750,229.88,45,1,n,100
326,I0326,1400,1200,1450,179.4,45,3,n,100
528,I0528,1400,1200,1450,179.4,45,3,n,100
6496,I6496,1600,1200,1350,303.92,45,4,n,100
7426,I7426,780,570,478,170.28,47,0,w,4
676,I0676,1400,1200,1450,179.4,45,3,n,100
6136,I6136,1400,1200,1450,179.4,45,3,n,100
1029,I1029,1900,1200,750,713.62,45,5,n,100
8330,I8330,1200,1000,975,293.32,45,1,n,100
2193,I2193,1600,1200,1350,207.72,45,4,n,100
2614,I2614,780,570,478,104.768,47,0,w,4
1319,I1319,1600,1200,1350,303.92,45,4,n,100
7006,I7006,1400,1200,1450,179.4,45,3,n,100
6143,I6143,1400,1200,1450,179.4,45,3,n,100
7286,I7286,1400,1225,1160,278.5,0,2,n,100
4494,I4494,1400,1225,1160,317.0,0,2,n,100
8313,I8313,1200,1000,975,293.32,45,1,n,100
949,I0949,1400,1200,1450,179.4,45,3,n,100
37,I0037,1400,1200,1450,179.4,45,3,n,100
7077,I7077,1600,1200,930,310.76,45,4,n,100
2871,I2871,1400,1200,1450,179.4,45,3,n,100
1127,I1127,1200,1000,750,351.756,45,1,n,100
360,I0360,1600,1200,975,611.224,45,4,n,100
7069,I7069,1200,1000,359,70.016,0,6,n,100
