,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
2931,I4244,1400,1225,1160,278.5,0,2,n,100
3393,I3898,1400,1225,1160,317.0,0,2,n,100
716,I7578,1200,1000,750,500.86,45,1,n,100
1963,I8289,1200,1000,545,729.5,45,1,n,100
2125,I2809,1200,1000,975,527.4,45,1,n,100
184,I6992,1200,1000,545,690.5,45,1,n,100
3984,I5960,1400,1225,1160,317.0,0,2,n,100
2373,I1618,1600,1200,930,438.4,45,4,n,100
1879,I7062,1600,1200,1350,207.72,45,4,n,100
3649,I8036,1200,1000,975,156.15,45,1,n,100
3523,I2527,1400,1200,1450,179.4,45,3,n,100
558,I0376,1600,1200,1350,303.92,45,4,n,100
3186,I2894,1600,1200,930,277.828,45,4,n,100
2609,I6745,1600,1200,930,547.3,45,4,n,100
2024,I5171,1200,1000,750,229.88,45,1,n,100
1716,I8324,1200,1000,975,293.32,45,1,n,100
3936,I7884,1400,1200,1450,179.4,45,3,n,100
3185,I2084,1600,1200,930,438.4,45,4,n,100
1184,I1174,1600,1200,975,180.2,45,4,n,100
1986,I1101,1200,1000,975,293.32,45,1,n,100
1714,I3272,1600,1200,1350,303.92,45,4,n,100
1117,I4588,1200,1000,750,227.528,45,1,n,100
1816,I7112,1400,1200,1450,179.4,45,3,n,100
1206,I3411,1400,1225,1160,278.5,0,2,n,100
1310,I0814,780,570,478,96.256,47,0,w,4
3660,I6195,1400,1225,1160,317.0,0,2,n,100
2662,I3757,780,570,478,81.72,47,0,w,4
3866,I0662,1400,1200,1450,179.4,45,3,n,100
981,I3856,1200,1000,975,293.32,45,1,n,100
3593,I2092,1600,1200,930,438.4,45,4,n,100
528,I5608,1200,1000,750,229.88,45,1,n,100
1162,I4169,1400,1225,1160,278.5,0,2,n,100
1556,I4139,1200,1000,975,156.15,45,1,n,100
2688,I0473,1200,1000,750,229.88,45,1,n,100
212,I6467,1600,1200,930,547.3,45,4,n,100
2905,I0277,1200,1000,975,577.8,45,1,n,100
1989,I0909,780,570,478,270.08,47,0,w,4
2837,I7869,780,570,478,82.32,47,0,w,4
2063,I4872,1400,1200,1450,179.4,45,3,n,100
3918,I8205,780,570,478,100.96,47,0,w,4
3617,I2914,1200,1000,975,577.8,45,1,n,100
3729,I0238,1400,1200,1450,179.4,45,3,n,100
2764,I7227,1200,1000,750,229.88,45,1,n,100
3815,I4670,780,570,478,82.32,47,0,w,4
15,I5576,780,570,478,101.52,47,0,w,4
3938,I5816,1200,1000,750,229.88,45,1,n,100
3792,I3725,1400,1200,1450,179.4,45,3,n,100
1040,I5912,1400,1200,1450,179.4,45,3,n,100
913,I5365,1400,1200,1450,179.4,45,3,n,100
2732,I0199,1400,1200,1450,179.4,45,3,n,100
2788,I1334,1400,1225,1160,278.5,0,2,n,100
518,I3639,780,570,478,96.256,47,0,w,4
1196,I6026,1200,1000,558,136.704,0,6,n,100
270,I8332,1200,1000,975,293.32,45,1,n,100
961,I3136,1200,1000,750,229.88,45,1,n,100
3405,I3505,1400,1225,1160,317.0,0,2,n,100
2513,I5269,1400,1225,1160,278.5,0,2,n,100
2739,I8012,1600,1200,930,547.3,45,4,n,100
903,I1013,1200,1000,975,156.15,45,1,n,100
569,I7556,1600,1200,930,438.4,45,4,n,100
2004,I2737,1600,1200,1350,303.92,45,4,n,100
3641,I3080,1200,1000,750,267.8,45,1,n,100
2236,I3184,780,570,478,81.72,47,0,w,4
3154,I7887,1400,1200,1450,179.4,45,3,n,100
2299,I3437,1200,1000,545,690.5,45,1,n,100
203,I4820,1200,1000,975,527.4,45,1,n,100
3384,I1221,1400,1200,1450,179.4,45,3,n,100
2397,I0194,1400,1200,1450,179.4,45,3,n,100
1199,I5635,1600,1200,1350,207.72,45,4,n,100
3227,I1186,1600,1200,975,180.2,45,4,n,100
157,I1865,1600,1200,1350,207.72,45,4,n,100
1359,I3374,1400,1200,1450,179.4,45,3,n,100
3012,I5117,1200,1000,1057,164.04,0,6,n,100
973,I0933,1400,1200,1450,179.4,45,3,n,100
1213,I0826,1400,1200,1450,179.4,45,3,n,100
2889,I3647,1400,1225,1160,317.0,0,2,n,100
2,I1161,1600,1200,975,180.2,45,4,n,100
829,I0532,1400,1200,1450,179.4,45,3,n,100
120,I2326,780,570,478,96.256,47,0,w,4
2137,I5006,1400,1200,1450,179.4,45,3,n,100
3193,I0655,1400,1200,1450,179.4,45,3,n,100
3009,I5000,1400,1200,1450,179.4,45,3,n,100
925,I7650,1600,1200,975,180.2,45,4,n,100
3935,I8281,780,570,478,100.96,47,0,w,4
2200,I4773,1200,1000,975,527.4,45,1,n,100
1415,I1056,1200,1000,750,229.88,45,1,n,100
317,I7568,1200,1000,975,156.15,45,1,n,100
3077,I7297,780,570,478,100.96,47,0,w,4
287,I5091,1600,1200,930,277.828,45,4,n,100
1906,I7503,780,570,478,82.32,47,0,w,4
2276,I3850,1200,1000,975,293.32,45,1,n,100
3848,I5794,1600,1200,930,277.828,45,4,n,100
1945,I3660,1600,1200,930,547.3,45,4,n,100
1245,I1891,1600,1200,1350,303.92,45,4,n,100
1651,I7382,1600,1200,1350,207.72,45,4,n,100
1187,I5048,1200,1000,1057,164.04,0,6,n,100
3225,I6437,1400,1225,1160,278.5,0,2,n,100
3584,I1754,1600,1200,1350,303.92,45,4,n,100
1265,I5456,1600,1200,930,547.3,45,4,n,100
3119,I6425,1400,1225,1160,317.0,0,2,n,100
3932,I0823,1400,1200,1450,179.4,45,3,n,100
1125,I6102,1400,1200,1450,179.4,45,3,n,100
1174,I1654,1200,1000,750,229.88,45,1,n,100
591,I1230,1400,1200,1450,179.4,45,3,n,100
3274,I4414,1200,1000,975,169.0,45,1,n,100
784,I3010,1600,1200,1350,207.72,45,4,n,100
2590,I7809,1600,1200,1350,303.92,45,4,n,100
1412,I6314,1600,1200,1350,303.92,45,4,n,100
1742,I3368,1400,1200,1450,179.4,45,3,n,100
2316,I1760,780,570,478,100.96,47,0,w,4
31,I8090,1200,1000,750,176.5,45,1,n,100
3696,I7420,780,570,478,82.32,47,0,w,4
971,I2245,1400,1200,1450,179.4,45,3,n,100
2984,I6565,1600,1200,1350,303.92,45,4,n,100
1486,I4564,1400,1225,1160,278.5,0,2,n,100
309,I2217,1200,1000,975,259.6,45,1,n,100
922,I5607,1200,1000,750,229.88,45,1,n,100
2564,I0430,1400,1200,1450,179.4,45,3,n,100
2064,I4015,1200,1000,975,156.15,45,1,n,100
1289,I3855,1200,1000,975,293.32,45,1,n,100
2309,I6989,780,570,478,104.768,47,0,w,4
2499,I0323,1400,1200,1450,179.4,45,3,n,100
2481,I0040,1400,1200,1450,179.4,45,3,n,100
277,I5502,1200,1000,975,225.6,45,1,n,100
2273,I7119,1400,1200,1450,179.4,45,3,n,100
1779,I5294,1600,1200,975,180.2,45,4,n,100
887,I7317,1400,1225,1160,278.5,0,2,n,100
3382,I4748,1200,1000,975,304.12,45,1,n,100
286,I7255,1400,1200,1450,179.4,45,3,n,100
69,I8395,1200,1000,545,729.5,45,1,n,100
3502,I3506,1400,1225,1160,317.0,0,2,n,100
1137,I3564,1400,1225,1160,278.5,0,2,n,100
3874,I1211,1600,1200,975,180.2,45,4,n,100
1849,I7440,1400,1225,1160,317.0,0,2,n,100
1965,I6344,1600,1200,975,180.2,45,4,n,100
1673,I8010,780,570,478,160.56,47,0,w,4
1455,I4460,1200,1000,975,336.7,45,1,n,100
1026,I3551,1600,1200,930,438.4,45,4,n,100
3194,I2725,1400,1225,1160,317.0,0,2,n,100
1158,I5882,780,570,478,104.768,47,0,w,4
2618,I0755,1400,1200,1450,179.4,45,3,n,100
2252,I0218,1400,1200,1450,179.4,45,3,n,100
1101,I7928,1200,1000,975,293.32,45,1,n,100
2255,I8018,1200,1000,750,229.88,45,1,n,100
313,I3588,1400,1225,1160,278.5,0,2,n,100
2880,I2520,1400,1200,1450,179.4,45,3,n,100
89,I6975,1400,1200,1450,179.4,45,3,n,100
2952,I6088,1400,1200,1450,179.4,45,3,n,100
278,I5536,1600,1200,1350,205.16,45,4,n,100
1987,I8061,1200,1000,975,337.45,45,1,n,100
1418,I6327,1600,1200,975,180.2,45,4,n,100
3484,I6585,1200,1000,975,246.0,45,1,n,100
152,I3158,1400,1225,1160,278.5,0,2,n,100
1981,I1656,1200,1000,750,229.88,45,1,n,100
3933,I8303,1200,1000,975,293.32,45,1,n,100
3625,I0049,1400,1200,1450,179.4,45,3,n,100
2008,I6782,1600,1200,1350,303.92,45,4,n,100
2288,I6844,1400,1200,1450,179.4,45,3,n,100
1643,I5036,780,570,478,82.32,47,0,w,4
3870,I1448,1200,1000,975,293.32,45,1,n,100
2554,I8109,1400,1200,1450,179.4,45,3,n,100
552,I7469,1400,1225,1160,317.0,0,2,n,100
2586,I4447,1200,1000,750,227.528,45,1,n,100
1401,I4081,1400,1200,1450,179.4,45,3,n,100
991,I7467,1400,1225,1160,317.0,0,2,n,100
1676,I5546,780,570,478,81.72,47,0,w,4
950,I0709,1600,1200,1350,303.92,45,4,n,100
915,I7023,1600,1200,1350,207.72,45,4,n,100
3798,I7828,1200,1000,975,577.8,45,1,n,100
1029,I5691,1400,1225,1160,317.0,0,2,n,100
740,I1205,1600,1200,975,180.2,45,4,n,100
1292,I4021,780,570,478,100.96,47,0,w,4
774,I3286,1200,1000,975,293.32,45,1,n,100
289,I7732,780,570,478,81.72,47,0,w,4
406,I3305,1200,1000,975,293.32,45,1,n,100
599,I4757,780,570,478,104.768,47,0,w,4
1173,I4661,1600,1200,1350,303.92,45,4,n,100
