id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I03079,1200,1000,975,169.2,45,2,n,100
I45826,1600,1200,975,185.25,45,0,n,100
I28796,1200,1000,975,139.98,45,2,n,100
I18209,1200,1000,975,142.59,45,2,n,100
I14011,1200,1000,975,129.0,45,2,n,100
I46125,1600,1200,930,149.212,45,0,n,100
I49757,1200,1000,1057,182.1,0,1,n,100
I39411,1600,1200,930,149.212,45,0,n,100
I03707,1600,1200,930,174.305,45,0,n,100
I27374,1200,1000,975,652.0,45,2,n,100
I17453,1600,1200,930,174.305,45,0,n,100
I46469,1600,1200,975,166.392,45,0,n,100
I10864,1200,1000,975,129.0,45,2,n,100
I08442,1200,1000,750,105.224,45,2,n,100
I33529,1600,1200,930,169.96,45,0,n,100
I26368,1600,1200,930,149.212,45,0,n,100
I41623,1600,1200,930,216.2,45,0,n,100
I29090,1200,1000,975,129.0,45,2,n,100
I26268,2030,1530,1350,245.36,45,13,n,100
I32675,1200,1000,975,293.32,45,2,n,100
I07485,1200,1000,930,128.84,45,2,n,100
I31567,1200,1000,930,129.2,45,2,n,100
I38258,2350,1000,950,271.36,45,4,n,100
I47549,1200,1000,975,129.0,45,2,n,100
I32043,1600,1200,975,176.2,45,0,n,100
I38597,1200,1000,750,105.224,45,2,n,100
I49344,1200,1000,975,132.804,45,2,n,100
I29696,1800,1400,1020,303.45,45,11,n,100
I48938,780,570,478,100.96,47,8,w,4
I07892,2350,1000,950,271.36,45,4,n,100
I39594,1600,1200,930,169.96,45,0,n,100
I37489,1200,1000,975,131.366,45,2,n,100
I43762,1400,1200,1450,179.4,45,12,n,100
I48694,1400,1200,1450,179.4,45,12,n,100
I14400,1200,1000,359,53.26,0,1,n,100
I38822,1600,1200,930,149.212,45,0,n,100
I07140,1200,1000,975,129.0,45,2,n,100
I40822,1200,1000,750,119.08,45,2,n,100
I34193,1200,1000,750,305.32,45,2,n,100
I05917,1200,1000,975,131.366,45,2,n,100
I43407,1200,1000,459,72.7,0,1,n,100
I21615,1200,1000,930,156.13,45,2,n,100
I01719,1200,1000,459,72.7,0,1,n,100
I39188,1400,1200,1450,179.4,45,12,n,100
I26324,1600,1200,930,174.305,45,0,n,100
I40538,1200,1000,975,142.59,45,2,n,100
I26225,2030,1530,1350,245.36,45,13,n,100
I09747,1200,1000,975,134.92,45,2,n,100
I42565,780,570,478,81.72,47,8,w,4
I50084,1200,1000,975,129.0,45,2,n,100
I21546,2030,1530,1350,294.22,45,13,n,100
I26327,1200,1000,1100,76.356,0,1,n,100
I41067,1200,1000,1057,182.1,0,1,n,100
I28680,1200,1000,975,131.366,45,2,n,100
I46562,1800,1400,1020,303.45,45,11,n,100
I39832,1600,1200,930,169.96,45,0,n,100
I12663,1600,1200,930,174.305,45,0,n,100
I11168,1200,1000,975,129.0,45,2,n,100
I06958,1200,1000,750,318.7,45,2,n,100
I14806,1600,1200,930,149.322,45,0,n,100
I42114,1200,1000,975,169.2,45,2,n,100
I19436,1600,1200,750,197.34,45,0,n,100
I06706,1200,1000,459,52.45,0,1,n,100
I38844,1400,1200,1450,179.4,45,12,n,100
I47405,1200,1000,930,140.0,45,2,n,100
I47594,1900,1200,750,177.104,45,6,n,100
I15223,1900,1200,750,177.104,45,6,n,100
I48905,1910,1200,1295,613.59,45,19,n,100
I18472,1600,1200,750,137.391,45,0,n,100
I14438,1600,1200,930,438.4,45,0,n,100
I26215,1200,1000,975,129.0,45,2,n,100
I09964,1200,1000,750,105.224,45,2,n,100
I47949,1200,1000,975,293.32,45,2,n,100
I03059,2350,1000,950,272.592,45,4,n,100
I01766,1600,1200,930,784.6,45,0,n,100
I00574,1600,1200,930,149.322,45,0,n,100
I09190,1900,1200,750,257.46,45,6,n,100
I39954,1200,1000,975,164.97,45,2,n,100
I37528,1800,1400,1020,201.008,45,11,n,3
I12019,1200,1000,750,135.8,45,2,n,100
I46466,1600,1200,975,178.6,45,0,n,100
I05598,1600,1200,975,178.6,45,0,n,100
I36993,1600,1200,930,169.96,45,0,n,100
I43037,1200,1000,975,169.2,45,2,n,100
I46185,1600,1200,930,227.44,45,0,n,100
I44827,1200,1000,975,142.59,45,2,n,100
I43714,2350,1000,950,286.656,45,4,n,100
I25497,2350,1000,950,286.656,45,4,n,100
I02294,1200,1000,750,106.03,45,2,n,100
I00399,1600,1200,1350,303.92,45,0,n,100
I34245,1200,1000,459,44.64,0,1,n,100
I19307,2350,1000,950,272.592,45,4,n,100
