,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
2408,I49369,1200,1000,750,105.224,45,2,n,100
1714,I38532,1600,1200,930,227.0,45,0,n,100
1985,I27284,2200,1600,1450,258.56,45,14,n,100
1532,I14080,1200,1000,975,142.59,45,2,n,100
260,I22911,1600,1200,930,149.212,45,0,n,100
3859,I50150,1600,1200,975,176.2,45,0,n,100
2103,I18739,1200,1000,459,64.84,0,1,n,100
3326,I40034,1600,1200,930,174.305,45,0,n,100
2016,I19920,1200,1000,750,431.704,45,2,n,100
3835,I21912,1600,1200,930,149.322,45,0,n,100
2760,I01176,1400,1200,1450,179.4,45,12,n,100
972,I06287,1200,1000,1057,121.35,0,1,n,100
2696,I43561,1900,1200,750,177.104,45,6,n,100
194,I18065,1400,1200,1450,179.4,45,12,n,100
3857,I23590,1600,1200,930,149.322,45,0,n,100
3903,I50364,1200,1000,975,131.366,45,2,n,100
605,I38992,1200,1000,758,79.12,0,1,n,100
2757,I00899,1200,1000,750,105.224,45,2,n,100
106,I35385,1200,1000,975,139.98,45,2,n,100
554,I16604,1800,1400,1020,201.008,45,11,n,3
2225,I11382,1200,1000,975,225.6,45,2,n,100
598,I40174,1200,1000,975,168.796,45,2,n,100
1474,I31757,1200,1000,459,54.546,0,1,n,100
1431,I47004,2050,1550,1450,215.582,45,7,n,100
881,I28809,1200,1000,975,132.804,45,2,n,100
3602,I27990,1800,1400,1020,303.45,45,11,n,100
3905,I14159,1600,1200,1350,207.72,45,0,n,100
3114,I47837,1600,1200,930,227.0,45,0,n,100
629,I33920,1400,1200,1450,179.4,45,12,n,100
2133,I40733,1200,1000,975,129.0,45,2,n,100
1370,I19317,1200,1000,975,149.31,45,2,n,100
650,I32401,1200,1000,975,169.2,45,2,n,100
2478,I30294,1200,1000,943,88.47,0,1,n,100
1135,I17458,1200,1000,975,169.2,45,2,n,100
517,I31420,1600,1200,750,148.86,45,0,n,100
1540,I30932,1600,1200,930,149.322,45,0,n,100
2222,I04878,1900,1200,750,257.46,45,6,n,100
204,I13863,2350,1000,950,266.88,45,4,n,100
3415,I32596,1200,1000,975,129.0,45,2,n,100
3892,I41777,1600,1200,975,460.0,45,0,n,100
2754,I35551,1200,1000,975,129.0,45,2,n,100
1492,I37195,1200,1000,1057,82.2,0,1,n,100
2902,I01837,1200,1000,930,614.16,45,2,n,100
2147,I15043,1600,1200,1350,205.16,45,0,n,100
3165,I26899,1200,1000,975,129.0,45,2,n,100
2750,I24732,1200,1000,975,139.98,45,2,n,100
2312,I13967,1600,1200,930,358.48,45,0,n,100
686,I15806,1200,1000,975,132.804,45,2,n,100
3278,I36506,1900,1200,750,177.104,45,6,n,100
2188,I35733,1600,1200,930,309.5,45,0,n,100
2979,I34927,1600,1200,930,169.96,45,0,n,100
2277,I01874,1600,1200,930,169.96,45,0,n,100
846,I24453,1600,1200,930,149.322,45,0,n,100
1083,I46406,1600,1200,930,169.96,45,0,n,100
2266,I03280,1800,1400,1020,201.008,45,11,n,3
730,I13518,2200,1600,1450,258.56,45,14,n,100
2912,I29162,1600,1200,1350,207.72,45,0,n,100
2564,I36205,1600,1200,930,169.96,45,0,n,100
3716,I03455,1200,1000,975,134.82,45,2,n,100
1824,I37811,1200,1000,943,88.47,0,1,n,100
1974,I37181,2350,1000,950,264.88,45,4,n,100
1510,I19366,1600,1200,930,169.96,45,0,n,100
329,I21403,1200,1000,750,106.03,45,2,n,100
565,I00534,1600,1200,750,148.86,45,0,n,100
1137,I26648,1600,1200,930,149.212,45,0,n,100
1104,I09974,1200,1000,750,105.224,45,2,n,100
2154,I33074,1600,1200,750,137.391,45,0,n,100
2821,I29118,1800,1400,1020,201.008,45,11,n,3
1873,I08339,1200,1000,975,129.0,45,2,n,100
