id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I00000,1600,1200,975,190.0,45,0,n,100
I00001,1200,1000,459,47.02,0,1,n,100
I00002,1200,1000,1057,101.55,0,1,n,100
I00003,1200,1000,930,413.58,45,2,n,100
I00004,1200,1000,750,106.03,45,2,n,100
I00005,1200,1000,750,106.03,45,2,n,100
I00006,1600,1200,975,184.6,45,0,n,100
I00007,800,600,445,16.67,0,3,n,100
I00008,1600,1200,975,178.6,45,0,n,100
I00009,1600,1200,975,178.6,45,0,n,100
I00010,2350,1000,950,267.04,45,4,n,100
I00011,1600,1200,930,174.305,45,0,n,100
I00012,1600,1200,930,174.305,45,0,n,100
I00013,1600,1200,930,174.305,45,0,n,100
I00014,1600,1200,930,174.305,45,0,n,100
I00015,1200,1000,1155,109.48,0,1,n,100
I00016,1200,1000,1057,98.31,0,1,n,100
I00017,1200,1000,758,127.4,0,1,n,100
I00018,1200,1000,930,291.48,45,2,n,100
I00019,1200,1000,930,291.48,45,2,n,100
I00020,1600,1200,930,781.25,45,0,n,100
I00021,2000,1200,545,408.88,45,5,n,100
I00022,1200,1000,943,94.68,0,1,n,100
I00023,1600,1200,930,169.96,45,0,n,100
I00024,1600,1200,930,169.96,45,0,n,100
I00025,1600,1200,930,169.96,45,0,n,100
I00026,1600,1200,975,155.8,45,0,n,100
I00027,1600,1200,975,155.8,45,0,n,100
I00028,1600,1200,975,155.8,45,0,n,100
I00029,1600,1200,975,155.8,45,0,n,100
I00030,1200,1000,459,54.354,0,1,n,100
I00031,1600,1200,750,197.34,45,0,n,100
I00032,1600,1200,750,197.34,45,0,n,100
I00033,1600,1200,930,356.2,45,0,n,100
I00034,1600,1200,930,663.22,45,0,n,100
I00035,1600,1200,930,663.22,45,0,n,100
I00036,1600,1200,975,166.392,45,0,n,100
I00037,1600,1200,975,166.392,45,0,n,100
I00038,1600,1200,975,166.392,45,0,n,100
I00039,1600,1200,975,166.392,45,0,n,100
I00040,1600,1200,975,166.392,45,0,n,100
I00041,1600,1200,975,166.392,45,0,n,100
I00042,1600,1200,975,166.392,45,0,n,100
I00043,1600,1200,1350,207.72,45,0,n,100
I00044,1600,1200,1350,207.72,45,0,n,100
I00045,1200,1000,359,39.8,0,1,n,100
I00046,1200,1000,359,39.8,0,1,n,100
I00047,1600,1200,975,155.8,45,0,n,100
I00048,1200,1000,930,152.366,45,2,n,100
I00049,1200,1000,930,152.366,45,2,n,100
I00050,1200,1000,930,152.366,45,2,n,100
I00051,1200,1000,1057,109.68,0,1,n,100
I00052,1200,1000,359,38.6,0,1,n,100
I00053,1600,1200,975,181.96,45,0,n,100
I00054,1600,1200,975,181.96,45,0,n,100
I00055,1600,1200,975,181.96,45,0,n,100
I00056,1200,1000,975,131.366,45,2,n,100
I00057,1200,1000,975,131.366,45,2,n,100
I00058,1200,1000,975,131.366,45,2,n,100
I00059,1200,1000,975,131.366,45,2,n,100
I00060,1200,1000,975,131.366,45,2,n,100
I00061,1200,1000,975,131.366,45,2,n,100
I00062,1200,1000,975,131.366,45,2,n,100
I00063,1200,1000,750,223.3,45,2,n,100
I00064,1600,1200,1350,207.72,45,0,n,100
I00065,1600,1200,1350,207.72,45,0,n,100
