,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
999,I02913,1800,1400,1020,303.45,45,11,n,100
1691,I07699,780,570,478,100.96,47,8,w,4
1608,I06829,1800,1200,1350,820.48,45,9,n,100
1053,I03154,1400,1200,1450,179.4,45,12,n,100
2208,I14513,1800,1200,1350,820.48,45,9,n,100
1821,I09353,2000,1200,545,408.88,45,5,n,100
1586,I06807,1910,1200,1295,613.59,45,19,n,100
1621,I06876,2050,1550,1450,215.582,45,7,n,100
145,I00145,2050,1550,1450,215.582,45,7,n,100
826,I02004,1910,1200,1295,613.59,45,19,n,100
250,I00250,1600,1200,930,149.322,45,0,n,100
258,I00258,1200,1000,975,129.0,45,2,n,100
856,I02301,2350,1000,950,271.36,45,4,n,100
2091,I12707,1900,1200,750,257.46,45,6,n,100
1912,I10346,2050,1550,1450,215.582,45,7,n,100
1209,I04104,1900,1200,750,177.104,45,6,n,100
2026,I11549,1900,1200,750,177.104,45,6,n,100
674,I01255,1800,1200,930,249.0,45,9,n,100
2008,I11435,1900,1200,750,257.46,45,6,n,100
1051,I03152,1400,1200,1450,179.4,45,12,n,100
2653,I41402,2400,1200,1490,340.5,45,24,n,5
2460,I23799,2030,1530,1350,245.36,45,13,n,100
2109,I13518,2200,1600,1450,258.56,45,14,n,100
969,I02765,2350,1000,950,272.592,45,4,n,100
1100,I03289,780,570,478,160.56,47,8,w,4
1847,I09590,780,570,478,100.96,47,8,w,4
1909,I10317,800,600,445,16.67,0,3,n,100
1952,I10673,2030,1530,975,245.764,45,13,n,100
1735,I08526,2050,1550,1450,215.582,45,7,n,100
843,I02198,2030,1530,1350,245.36,45,13,n,100
708,I01477,1800,1400,1020,201.008,45,11,n,3
2640,I38719,2000,1200,2350,367.608,45,22,n,100
1473,I05541,1800,1200,930,249.0,45,9,n,100
1878,I10037,1800,1200,930,249.0,45,9,n,100
1592,I06813,1910,1200,1295,613.59,45,19,n,100
90,I00090,1900,1200,750,177.104,45,6,n,100
1332,I04671,1800,1400,1020,303.45,45,11,n,100
561,I00829,1800,1400,1020,303.45,45,11,n,100
1271,I04278,2350,1000,950,286.656,45,4,n,100
2565,I29056,2000,1200,2350,367.608,45,22,n,100
1534,I06256,2000,1200,2350,367.608,45,22,n,100
1416,I05155,780,570,478,100.96,47,8,w,4
1507,I05789,2200,1600,1450,258.56,45,14,n,100
1711,I07965,1900,1200,750,257.46,45,6,n,100
2005,I11356,1900,1200,750,177.104,45,6,n,100
2061,I12123,2030,1530,1350,245.36,45,13,n,100
1462,I05517,1400,1200,1450,179.4,45,12,n,100
139,I00139,1200,1000,975,131.366,45,2,n,100
130,I00130,2350,1000,950,286.656,45,4,n,100
214,I00214,1600,1200,750,155.64,45,0,n,100
1009,I03058,2350,1000,950,272.592,45,4,n,100
2189,I14371,1800,1200,930,249.0,45,9,n,100
