id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I00003,1200,1000,930,413.58,45,2,n,100
I00020,1600,1200,930,781.25,45,0,n,100
I00021,2000,1200,545,408.88,45,5,n,100
I00033,1600,1200,930,356.2,45,0,n,100
I00034,1600,1200,930,663.22,45,0,n,100
I00035,1600,1200,930,663.22,45,0,n,100
I00073,1200,1000,750,405.72,45,2,n,100
I00143,1600,1200,930,313.0,45,0,n,100
I00161,1200,1000,1155,366.75,0,1,n,100
I00162,1600,1200,930,356.2,45,0,n,100
I00163,1600,1200,930,356.2,45,0,n,100
I00170,1600,1200,930,551.56,45,0,n,100
I00171,1600,1200,930,551.56,45,0,n,100
I00174,1200,1000,930,704.12,45,2,n,100
I00224,1200,1000,975,329.77,45,2,n,100
I00225,1200,1000,975,329.77,45,2,n,100
I00231,1600,1200,930,387.3,45,0,n,100
I00241,1200,1000,545,526.75,45,2,n,100
I00242,1800,1200,1350,820.48,45,9,n,100
I00244,1600,1200,930,607.6,45,0,n,100
I00276,1200,1000,930,617.24,45,2,n,100
I00277,1200,1000,975,465.1,45,2,n,100
I00279,1200,1000,930,347.0,45,2,n,100
I00303,1200,1000,545,526.75,45,2,n,100
I00308,1600,1200,930,387.3,45,0,n,100
I00309,1600,1200,930,387.3,45,0,n,100
I00334,1200,1000,645,330.5,0,1,n,100
I00338,1600,1200,930,364.84,45,0,n,100
I00339,1600,1200,930,364.84,45,0,n,100
I00340,1600,1200,930,356.56,45,0,n,100
I00341,1600,1200,930,356.56,45,0,n,100
I00342,1600,1200,930,356.56,45,0,n,100
I00346,1200,1000,975,401.2,45,2,n,100
I00347,1600,1200,545,338.52,45,0,n,100
I00348,1600,1200,545,338.52,45,0,n,100
I00355,1600,1200,930,784.6,45,0,n,100
I00371,1600,1200,930,387.3,45,0,n,100
I00372,1600,1200,930,387.3,45,0,n,100
I00373,1200,1000,930,345.29,45,2,n,100
I00398,1600,1200,1350,303.92,45,0,n,100
I00399,1600,1200,1350,303.92,45,0,n,100
I00400,1600,1200,1350,303.92,45,0,n,100
I00401,1600,1200,1350,303.92,45,0,n,100
I00402,1600,1200,930,547.3,45,0,n,100
I00403,1600,1200,930,547.3,45,0,n,100
I00404,1600,1200,930,547.3,45,0,n,100
I00405,1600,1200,930,547.3,45,0,n,100
I00436,1200,1000,930,704.12,45,2,n,100
I00437,1600,1200,975,460.0,45,0,n,100
I00438,1600,1200,975,460.0,45,0,n,100
I00455,1600,1200,930,307.13,45,0,n,100
I00456,1600,1200,930,307.13,45,0,n,100
I00471,1600,1200,930,396.2,45,0,n,100
I00477,1200,1000,975,329.77,45,2,n,100
I00487,1600,1200,750,323.7,45,0,n,100
I00488,1600,1200,750,323.7,45,0,n,100
