,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
1822,I14324,1200,1000,930,345.29,45,2,n,100
2703,I21860,1200,1000,545,526.75,45,2,n,100
1635,I12850,1600,1200,930,387.3,45,0,n,100
4687,I37853,1600,1200,930,546.3,45,0,n,100
1341,I10779,1600,1200,1350,303.92,45,0,n,100
965,I07468,1600,1200,930,607.6,45,0,n,100
3406,I27778,1600,1200,930,607.6,45,0,n,100
4225,I34612,1910,1200,1295,613.59,45,19,n,100
5932,I47801,1910,1200,1295,613.59,45,19,n,100
5104,I40997,1200,1000,975,384.74,45,2,n,100
5702,I45855,1600,1200,930,551.56,45,0,n,100
1098,I08790,1600,1200,930,307.13,45,0,n,100
5990,I48112,1600,1200,930,781.25,45,0,n,100
196,I01704,1900,1200,750,845.38,45,6,n,100
2091,I16594,1600,1200,930,784.6,45,0,n,100
2081,I16556,1800,1400,1020,303.45,45,11,n,100
1830,I14433,1200,1000,975,329.77,45,2,n,100
5225,I42067,1200,1000,930,413.58,45,2,n,100
722,I05375,1800,1200,1350,820.48,45,9,n,100
373,I02699,1600,1200,930,356.2,45,0,n,100
2063,I16394,1600,1200,930,607.6,45,0,n,100
1252,I10154,1200,1000,930,340.0,45,2,n,100
5446,I43781,1600,1200,930,356.2,45,0,n,100
2840,I22874,1600,1200,930,607.6,45,0,n,100
3068,I24767,1200,1000,975,329.77,45,2,n,100
691,I05114,1200,1000,975,337.45,45,2,n,100
889,I06814,1910,1200,1295,613.59,45,19,n,100
1692,I13361,1600,1200,930,307.13,45,0,n,100
4370,I35735,1200,1000,930,338.9,45,2,n,100
5809,I46595,1200,1000,545,729.5,45,2,n,100
5468,I44138,1200,1000,930,704.36,45,2,n,100
1192,I09565,1200,1000,975,401.2,45,2,n,100
576,I04445,1600,1200,930,364.84,45,0,n,100
2750,I22117,1200,1000,975,401.2,45,2,n,100
2503,I20300,1600,1200,930,307.13,45,0,n,100
759,I05900,1600,1200,930,307.13,45,0,n,100
5825,I46658,1600,1200,1350,303.92,45,0,n,100
6133,I49222,1600,1200,930,784.6,45,0,n,100
4619,I37378,1600,1200,930,784.6,45,0,n,100
2031,I16166,1600,1200,930,396.2,45,0,n,100
1630,I12815,1600,1200,930,663.22,45,0,n,100
4830,I38798,1600,1200,930,387.3,45,0,n,100
2555,I20755,1600,1200,545,338.16,45,0,n,100
3616,I29285,1200,1000,750,431.704,45,2,n,100
4656,I37575,1600,1200,930,358.48,45,0,n,100
4144,I33998,1600,1200,975,346.52,45,0,n,100
4002,I32769,1600,1200,975,611.224,45,0,n,100
2006,I15944,1200,1000,975,329.77,45,2,n,100
4289,I35017,1600,1200,545,338.16,45,0,n,100
454,I03465,1600,1200,930,356.2,45,0,n,100
6044,I48557,1200,1000,930,345.29,45,2,n,100
3940,I32164,1600,1200,930,396.2,45,0,n,100
5218,I41984,1600,1200,930,396.2,45,0,n,100
4576,I37211,1200,1000,975,329.77,45,2,n,100
5361,I43098,1910,1200,1295,613.59,45,19,n,100
76,I00758,1200,1000,545,526.75,45,2,n,100
3296,I26821,1600,1200,930,309.5,45,0,n,100
4928,I39654,1600,1200,930,551.56,45,0,n,100
200,I01714,1600,1200,930,663.22,45,0,n,100
6223,I50128,1200,1000,975,337.45,45,2,n,100
5166,I41420,1600,1200,930,387.3,45,0,n,100
2054,I16347,1800,1200,1350,820.48,45,9,n,100
5710,I45875,1600,1200,930,438.4,45,0,n,100
5724,I45897,1600,1200,930,663.22,45,0,n,100
2648,I21495,1910,1200,1295,613.59,45,19,n,100
2684,I21734,1600,1200,1350,303.92,45,0,n,100
4376,I35758,1910,1200,1295,613.59,45,19,n,100
5103,I40983,1200,1000,930,413.58,45,2,n,100
5169,I41428,1200,1000,930,617.24,45,2,n,100
2980,I23852,1600,1200,1350,312.72,45,0,n,100
1275,I10239,1200,1000,930,340.1,45,2,n,100
2310,I18433,1600,1200,930,607.6,45,0,n,100
1124,I08981,2000,1200,2350,367.608,45,22,n,100
4186,I34296,1600,1200,930,358.48,45,0,n,100
246,I01975,1800,1400,1020,303.45,45,11,n,100
3681,I29671,1600,1200,930,307.13,45,0,n,100
822,I06363,1200,1000,930,319.1,45,2,n,100
4379,I35761,1910,1200,1295,613.59,45,19,n,100
777,I06075,1800,1400,1020,303.45,45,11,n,100
4960,I39803,1200,1000,975,329.77,45,2,n,100
5339,I42995,1600,1200,930,307.13,45,0,n,100
825,I06374,1800,1400,1020,303.45,45,11,n,100
5616,I45266,1600,1200,930,387.3,45,0,n,100
1775,I13955,1600,1200,930,356.2,45,0,n,100
4984,I39872,1910,1200,1295,613.59,45,19,n,100
4410,I35934,1600,1200,930,358.48,45,0,n,100
794,I06128,1600,1200,930,784.6,45,0,n,100
2966,I23763,1800,1400,1020,303.45,45,11,n,100
5620,I45295,1800,1200,1350,820.48,45,9,n,100
1788,I14017,1900,1200,750,713.62,45,6,n,100
4147,I34089,1200,1000,545,729.5,45,2,n,100
5019,I40272,2000,1200,2350,367.608,45,22,n,100
2674,I21633,1200,1000,975,401.2,45,2,n,100
107,I01004,1600,1200,930,607.6,45,0,n,100
2773,I22238,1200,1000,750,305.32,45,2,n,100
5762,I46148,1200,1000,975,337.9,45,2,n,100
3336,I27108,1600,1200,975,460.0,45,0,n,100
737,I05605,1600,1200,750,323.7,45,0,n,100
2537,I20659,1200,1000,750,405.72,45,2,n,100
793,I06127,1910,1200,1295,613.59,45,19,n,100
3755,I30318,1200,1000,975,401.2,45,2,n,100
3255,I26592,1200,1000,930,413.58,45,2,n,100
5893,I47552,1600,1200,930,356.56,45,0,n,100
366,I02644,1600,1200,930,547.3,45,0,n,100
3820,I31001,1800,1400,1020,303.45,45,11,n,100
548,I04139,1600,1200,930,356.2,45,0,n,100
2599,I21166,1200,1000,975,329.77,45,2,n,100
5462,I44115,1600,1200,930,396.2,45,0,n,100
3213,I26168,1600,1200,930,607.6,45,0,n,100
3049,I24624,1200,1000,930,413.58,45,2,n,100
4403,I35883,1600,1200,930,356.56,45,0,n,100
127,I01058,1600,1200,930,551.56,45,0,n,100
2120,I16901,1900,1200,750,713.62,45,6,n,100
4550,I36980,1800,1400,1020,303.45,45,11,n,100
552,I04193,1600,1200,930,364.84,45,0,n,100
6171,I49709,1910,1200,1295,613.59,45,19,n,100
2051,I16344,2000,1200,545,408.88,45,5,n,100
3868,I31429,1200,1000,975,401.2,45,2,n,100
2040,I16257,1600,1200,930,663.22,45,0,n,100
3842,I31128,1600,1200,1350,303.92,45,0,n,100
4486,I36612,2000,1200,545,408.88,45,5,n,100
4212,I34555,1200,1000,975,329.77,45,2,n,100
5882,I47403,1600,1200,930,370.78,45,0,n,100
5009,I40160,1600,1200,750,323.7,45,0,n,100
3025,I24209,1600,1200,975,460.0,45,0,n,100
3878,I31524,1800,1400,1020,303.45,45,11,n,100
2319,I18486,1600,1200,930,313.0,45,0,n,100
4517,I36742,1600,1200,930,607.6,45,0,n,100
354,I02602,1200,1000,930,345.29,45,2,n,100
5875,I47346,1600,1200,750,323.7,45,0,n,100
3277,I26668,1910,1200,1295,613.59,45,19,n,100
2187,I17406,1600,1200,930,781.25,45,0,n,100
1335,I10668,1600,1200,930,358.48,45,0,n,100
30,I00341,1600,1200,930,356.56,45,0,n,100
983,I07609,1200,1000,975,329.77,45,2,n,100
3926,I32033,1200,1000,1155,373.25,0,1,n,100
1175,I09353,2000,1200,545,408.88,45,5,n,100
2442,I19791,1200,1000,930,414.14,45,2,n,100
155,I01319,1600,1200,930,370.78,45,0,n,100
1250,I10118,1600,1200,1350,303.92,45,0,n,100
2527,I20605,1600,1200,930,358.48,45,0,n,100
5404,I43484,1600,1200,930,663.22,45,0,n,100
872,I06776,1600,1200,930,364.84,45,0,n,100
5148,I41266,1600,1200,930,607.6,45,0,n,100
1474,I11855,1600,1200,930,830.32,45,0,n,100
847,I06551,1600,1200,930,358.48,45,0,n,100
3170,I25814,1200,1000,930,414.14,45,2,n,100
3771,I30506,1600,1200,930,356.2,45,0,n,100
4967,I39849,1200,1000,545,526.75,45,2,n,100
4367,I35727,2000,1200,545,408.88,45,5,n,100
3615,I29264,1200,1000,750,431.704,45,2,n,100
4531,I36841,1600,1200,930,663.22,45,0,n,100
5690,I45767,1200,1000,750,305.32,45,2,n,100
2923,I23436,1600,1200,930,396.2,45,0,n,100
2489,I20158,1600,1200,750,323.7,45,0,n,100
2952,I23690,1800,1400,1020,303.45,45,11,n,100
5885,I47412,1600,1200,930,356.2,45,0,n,100
512,I03863,1600,1200,930,663.22,45,0,n,100
1077,I08480,1600,1200,930,370.78,45,0,n,100
644,I04782,1600,1200,930,356.56,45,0,n,100
4736,I38202,1600,1200,930,438.4,45,0,n,100
1487,I11951,1200,1000,930,345.29,45,2,n,100
5472,I44152,1600,1200,930,356.56,45,0,n,100
5551,I44724,1600,1200,930,438.4,45,0,n,100
5858,I47000,1600,1200,930,396.2,45,0,n,100
