,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
4,I04,950,800,1100,100,100,0,n,100
35,I35,800,1200,800,200,100,1,n,100
1,I01,950,800,1100,200,100,0,n,100
36,I36,800,1200,800,100,100,1,n,100
9,I09,950,800,1100,100,100,0,n,100
33,I33,800,1200,800,200,100,1,n,100
34,I34,800,1200,800,100,100,1,n,100
25,I25,800,1200,800,100,100,1,n,100
7,I07,950,800,1100,200,100,0,n,100
6,I06,950,800,1100,200,100,0,n,100
47,I47,800,1200,800,100,100,1,n,100
31,I31,800,1200,800,100,100,1,n,100
45,I45,800,1200,800,100,100,1,n,100
29,I29,800,1200,800,100,100,1,n,100
0,I00,950,800,1100,100,100,0,n,100
11,I11,950,800,1100,200,100,0,n,100
5,I05,950,800,1100,200,100,0,n,100
12,I12,950,800,1100,100,100,0,n,100
