id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0000,1500,800,800,715.0,110,0,n,4
I0001,1500,1000,800,475.0,110,1,n,4
I0002,1500,1000,800,545.0,110,1,n,4
I0003,1500,1000,800,744.0,110,1,n,4
I0004,1500,800,800,0.0,110,0,n,4
I0005,1500,1000,800,878.0,110,1,n,4
I0006,1500,1000,800,1048.0,110,1,n,4
I0007,1500,800,800,0.0,110,0,n,4
I0008,1500,800,800,811.0,110,0,n,4
I0009,1500,1000,800,677.0,110,1,n,4
I0010,1500,1000,800,923.0,110,1,n,4
I0011,1500,800,800,0.0,110,0,n,4
I0012,1500,800,800,1151.0,110,0,n,4
I0013,1500,800,800,653.0,110,0,n,4
I0014,1500,800,800,921.0,110,0,n,4
I0015,1500,1000,800,0.0,110,1,n,4
I0016,1500,800,800,800.0,110,0,n,4
I0017,1500,800,800,915.0,110,0,n,4
I0018,1500,1000,800,799.0,110,1,n,4
I0019,1500,1000,800,0.0,110,1,n,4
I0020,1500,800,800,465.0,110,0,n,4
I0021,1500,1000,800,0.0,110,1,n,4
I0022,1500,800,800,0.0,110,0,n,4
I0023,1500,800,800,671.0,110,0,n,4
I0024,1500,1000,800,817.0,110,1,n,4
I0025,1500,1000,800,664.0,110,1,n,4
I0026,1500,1000,800,1022.0,110,1,n,4
I0027,1500,1000,800,570.0,110,1,n,4
I0028,1500,800,800,0.0,110,0,n,4
I0029,1500,800,800,608.0,110,0,n,4
I0030,1500,800,800,593.0,110,0,n,4
I0031,1500,800,800,983.0,110,0,n,4
I0032,1500,1000,800,963.0,110,1,n,4
I0033,1500,800,800,813.0,110,0,n,4
I0034,1500,800,800,865.0,110,0,n,4
I0035,1500,1000,800,645.0,110,1,n,4
I0036,1500,1000,800,1044.0,110,1,n,4
I0037,1500,800,800,658.0,110,0,n,4
I0038,1500,1000,800,755.0,110,1,n,4
I0039,1500,800,800,479.0,110,0,n,4
I0040,1500,800,800,966.0,110,0,n,4
I0041,1500,800,800,534.0,110,0,n,4
I0042,1500,1000,800,794.0,110,1,n,4
I0043,1500,800,800,0.0,110,0,n,4
I0044,1500,1000,800,836.0,110,1,n,4
I0045,1500,800,800,747.0,110,0,n,4
I0046,1500,800,800,569.0,110,0,n,4
I0047,1500,800,800,1178.0,110,0,n,4
I0048,1500,800,800,559.0,110,0,n,4
I0049,1500,800,800,0.0,110,0,n,4
I0050,1500,800,800,525.0,110,0,n,4
I0051,1500,800,800,804.0,110,0,n,4
I0052,1500,1000,800,892.0,110,1,n,4
I0053,1500,1000,800,512.0,110,1,n,4
I0054,1500,1000,800,953.0,110,1,n,4
I0055,1500,1000,800,0.0,110,1,n,4
I0056,1500,1000,800,506.0,110,1,n,4
I0057,1500,1000,800,1223.0,110,1,n,4
I0058,1500,800,800,1021.0,110,0,n,4
I0059,1500,800,800,786.0,110,0,n,4
I0060,1500,800,800,769.0,110,0,n,4
I0061,1500,1000,800,765.0,110,1,n,4
I0062,1500,800,800,747.0,110,0,n,4
I0063,1500,800,800,0.0,110,0,n,4
I0064,1500,800,800,956.0,110,0,n,4
I0065,1500,1000,800,713.0,110,1,n,4
I0066,1500,1000,800,617.0,110,1,n,4
I0067,1500,1000,800,0.0,110,1,n,4
I0068,1500,800,800,817.0,110,0,n,4
I0069,1500,800,800,721.0,110,0,n,4
I0070,1500,1000,800,0.0,110,1,n,4
I0071,1500,800,800,0.0,110,0,n,4
I0072,1500,1000,800,684.0,110,1,n,4
I0073,1500,800,800,0.0,110,0,n,4
I0074,1500,1000,800,821.0,110,1,n,4
I0075,1500,1000,800,724.0,110,1,n,4
I0076,1500,1000,800,1091.0,110,1,n,4
I0077,1500,1000,800,975.0,110,1,n,4
I0078,1500,800,800,743.0,110,0,n,4
I0079,1500,800,800,1059.0,110,0,n,4
I0080,1500,800,800,0.0,110,0,n,4
I0081,1500,1000,800,578.0,110,1,n,4
I0082,1500,800,800,525.0,110,0,n,4
I0083,1500,800,800,767.0,110,0,n,4
I0084,1500,800,800,926.0,110,0,n,4
I0085,1500,800,800,853.0,110,0,n,4
I0086,1500,1000,800,0.0,110,1,n,4
I0087,1500,1000,800,691.0,110,1,n,4
I0088,1500,800,800,647.0,110,0,n,4
I0089,1500,1000,800,939.0,110,1,n,4
I0090,1500,800,800,789.0,110,0,n,4
I0091,1500,800,800,1207.0,110,0,n,4
I0092,1500,1000,800,502.0,110,1,n,4
I0093,1500,1000,800,863.0,110,1,n,4
I0094,1500,1000,800,594.0,110,1,n,4
I0095,1500,800,800,613.0,110,0,n,4
I0096,1500,1000,800,632.0,110,1,n,4
I0097,1500,1000,800,755.0,110,1,n,4
I0098,1500,1000,800,639.0,110,1,n,4
I0099,1500,800,800,556.0,110,0,n,4
I0100,1500,1000,800,801.0,110,1,n,4
I0101,1500,800,800,870.0,110,0,n,4
I0102,1500,800,800,850.0,110,0,n,4
I0103,1500,1000,800,0.0,110,1,n,4
I0104,1500,800,800,0.0,110,0,n,4
I0105,1500,800,800,680.0,110,0,n,4
I0106,1500,1000,800,997.0,110,1,n,4
I0107,1500,800,800,749.0,110,0,n,4
I0108,1500,1000,800,786.0,110,1,n,4
I0109,1500,800,800,664.0,110,0,n,4
I0110,1500,1000,800,848.0,110,1,n,4
I0111,1500,800,800,1016.0,110,0,n,4
I0112,1500,800,800,697.0,110,0,n,4
I0113,1500,800,800,616.0,110,0,n,4
I0114,1500,1000,800,902.0,110,1,n,4
I0115,1500,1000,800,727.0,110,1,n,4
I0116,1500,1000,800,699.0,110,1,n,4
I0117,1500,800,800,0.0,110,0,n,4
I0118,1500,1000,800,734.0,110,1,n,4
I0119,1500,800,800,779.0,110,0,n,4
I0120,1500,800,800,984.0,110,0,n,4
I0121,1500,800,800,1013.0,110,0,n,4
I0122,1500,800,800,569.0,110,0,n,4
I0123,1500,1000,800,0.0,110,1,n,4
I0124,1500,1000,800,0.0,110,1,n,4
I0125,1500,1000,800,0.0,110,1,n,4
I0126,1500,800,800,0.0,110,0,n,4
I0127,1500,800,800,568.0,110,0,n,4
I0128,1500,800,800,598.0,110,0,n,4
I0129,1500,1000,800,0.0,110,1,n,4
I0130,1500,1000,800,0.0,110,1,n,4
I0131,1500,1000,800,786.0,110,1,n,4
I0132,1500,1000,800,611.0,110,1,n,4
I0133,1500,1000,800,0.0,110,1,n,4
I0134,1500,800,800,825.0,110,0,n,4
I0135,1500,1000,800,547.0,110,1,n,4
I0136,1500,1000,800,699.0,110,1,n,4
I0137,1500,1000,800,744.0,110,1,n,4
I0138,1500,1000,800,0.0,110,1,n,4
I0139,1500,1000,800,763.0,110,1,n,4
I0140,1500,1000,800,1079.0,110,1,n,4
I0141,1500,1000,800,0.0,110,1,n,4
I0142,1500,1000,800,716.0,110,1,n,4
I0143,1500,800,800,0.0,110,0,n,4
I0144,1500,800,800,809.0,110,0,n,4
I0145,1500,800,800,551.0,110,0,n,4
I0146,1500,800,800,0.0,110,0,n,4
I0147,1500,800,800,833.0,110,0,n,4
I0148,1500,800,800,719.0,110,0,n,4
I0149,1500,1000,800,995.0,110,1,n,4
I0150,1500,800,800,878.0,110,0,n,4
I0151,1500,800,800,1020.0,110,0,n,4
I0152,1500,1000,800,0.0,110,1,n,4
I0153,1500,1000,800,776.0,110,1,n,4
I0154,1500,1000,800,761.0,110,1,n,4
I0155,1500,800,800,1050.0,110,0,n,4
I0156,1500,1000,800,693.0,110,1,n,4
I0157,1500,800,800,0.0,110,0,n,4
I0158,1500,1000,800,0.0,110,1,n,4
I0159,1500,800,800,599.0,110,0,n,4
I0160,1500,800,800,1027.0,110,0,n,4
I0161,1500,800,800,963.0,110,0,n,4
I0162,1500,800,800,817.0,110,0,n,4
I0163,1500,1000,800,634.0,110,1,n,4
I0164,1500,800,800,1039.0,110,0,n,4
I0165,1500,800,800,920.0,110,0,n,4
I0166,1500,1000,800,769.0,110,1,n,4
I0167,1500,800,800,999.0,110,0,n,4
