,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
2788,I2788,1500,800,800,0.0,110,0,n,4
2197,I2197,1500,800,800,841.0,110,0,n,4
2470,I2470,1500,800,800,0.0,110,0,n,4
476,I0476,1500,800,800,957.0,110,0,n,4
4689,I4689,1500,800,800,1090.0,110,0,n,4
3900,I3900,1500,800,800,873.0,110,0,n,4
4937,I4937,1500,800,800,740.0,110,0,n,4
4,I0004,1500,800,800,0.0,110,0,n,4
4810,I4810,1500,800,800,793.0,110,0,n,4
63,I0063,1500,800,800,0.0,110,0,n,4
4078,I4078,1500,800,800,613.0,110,0,n,4
516,I0516,1500,800,800,676.0,110,0,n,4
4314,I4314,1500,1000,800,740.0,110,1,n,4
1577,I1577,1500,1000,800,0.0,110,1,n,4
2892,I2892,1500,800,800,497.0,110,0,n,4
158,I0158,1500,1000,800,0.0,110,1,n,4
4893,I4893,1500,1000,800,733.0,110,1,n,4
4274,I4274,1500,1000,800,667.0,110,1,n,4
3974,I3974,1500,800,800,690.0,110,0,n,4
3895,I3895,1500,1000,800,0.0,110,1,n,4
4734,I4734,1500,1000,800,760.0,110,1,n,4
154,I0154,1500,1000,800,761.0,110,1,n,4
1545,I1545,1500,1000,800,538.0,110,1,n,4
4763,I4763,1500,1000,800,715.0,110,1,n,4
1499,I1499,1500,1000,800,642.0,110,1,n,4
120,I0120,1500,800,800,984.0,110,0,n,4
1001,I1001,1500,800,800,579.0,110,0,n,4
4985,I4985,1500,800,800,817.0,110,0,n,4
4196,I4196,1500,1000,800,788.0,110,1,n,4
3506,I3506,1500,1000,800,784.0,110,1,n,4
571,I0571,1500,800,800,1149.0,110,0,n,4
2174,I2174,1500,800,800,638.0,110,0,n,4
1113,I1113,1500,1000,800,799.0,110,1,n,4
2411,I2411,1500,1000,800,0.0,110,1,n,4
3807,I3807,1500,1000,800,765.0,110,1,n,4
666,I0666,1500,800,800,658.0,110,0,n,4
1711,I1711,1500,800,800,880.0,110,0,n,4
4203,I4203,1500,1000,800,793.0,110,1,n,4
3758,I3758,1500,800,800,600.0,110,0,n,4
2815,I2815,1500,800,800,811.0,110,0,n,4
2648,I2648,1500,800,800,0.0,110,0,n,4
4994,I4994,1500,800,800,466.0,110,0,n,4
4511,I4511,1500,800,800,885.0,110,0,n,4
1020,I1020,1500,1000,800,0.0,110,1,n,4
462,I0462,1500,800,800,794.0,110,0,n,4
4891,I4891,1500,1000,800,755.0,110,1,n,4
3045,I3045,1500,800,800,999.0,110,0,n,4
4549,I4549,1500,1000,800,621.0,110,1,n,4
162,I0162,1500,800,800,817.0,110,0,n,4
4581,I4581,1500,800,800,865.0,110,0,n,4
3348,I3348,1500,800,800,635.0,110,0,n,4
4334,I4334,1500,1000,800,605.0,110,1,n,4
2789,I2789,1500,1000,800,651.0,110,1,n,4
1500,I1500,1500,800,800,649.0,110,0,n,4
550,I0550,1500,800,800,719.0,110,0,n,4
1913,I1913,1500,800,800,0.0,110,0,n,4
34,I0034,1500,800,800,865.0,110,0,n,4
