,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
698,I0698,1500,1000,800,1081.0,110,1,n,4
4721,I4721,1500,800,800,0.0,110,0,n,4
76,I0076,1500,800,800,1490.0,110,0,n,4
2367,I2367,1500,1000,800,0.0,110,1,n,4
4996,I4996,1500,800,800,0.0,110,0,n,4
3810,I3810,1500,1000,800,0.0,110,1,n,4
1275,I1275,1500,1000,800,1485.0,110,1,n,4
1681,I1681,1500,1000,800,1362.0,110,1,n,4
484,I0484,1500,800,800,952.0,110,0,n,4
244,I0244,1500,800,800,914.0,110,0,n,4
3542,I3542,1500,1000,800,1128.0,110,1,n,4
4600,I4600,1500,1000,800,1039.0,110,1,n,4
3241,I3241,1500,800,800,0.0,110,0,n,4
4875,I4875,1500,800,800,1420.0,110,0,n,4
489,I0489,1500,1000,800,972.0,110,1,n,4
1037,I1037,1500,1000,800,0.0,110,1,n,4
1582,I1582,1500,800,800,0.0,110,0,n,4
4366,I4366,1500,800,800,0.0,110,0,n,4
929,I0929,1500,1000,800,1345.0,110,1,n,4
2969,I2969,1500,1000,800,1050.0,110,1,n,4
940,I0940,1500,1000,800,1487.0,110,1,n,4
739,I0739,1500,1000,800,1543.0,110,1,n,4
2815,I2815,1500,800,800,0.0,110,0,n,4
3066,I3066,1500,800,800,1589.0,110,0,n,4
2869,I2869,1500,800,800,1156.0,110,0,n,4
228,I0228,1500,800,800,1380.0,110,0,n,4
4124,I4124,1500,1000,800,0.0,110,1,n,4
4282,I4282,1500,800,800,0.0,110,0,n,4
2408,I2408,1500,1000,800,1354.0,110,1,n,4
469,I0469,1500,800,800,987.0,110,0,n,4
2070,I2070,1500,800,800,0.0,110,0,n,4
687,I0687,1500,800,800,0.0,110,0,n,4
4275,I4275,1500,1000,800,1384.0,110,1,n,4
4710,I4710,1500,1000,800,966.0,110,1,n,4
3670,I3670,1500,800,800,1010.0,110,0,n,4
374,I0374,1500,1000,800,0.0,110,1,n,4
3620,I3620,1500,1000,800,892.0,110,1,n,4
4231,I4231,1500,1000,800,1513.0,110,1,n,4
1445,I1445,1500,800,800,1462.0,110,0,n,4
4057,I4057,1500,800,800,1102.0,110,0,n,4
4665,I4665,1500,800,800,1071.0,110,0,n,4
786,I0786,1500,1000,800,0.0,110,1,n,4
4315,I4315,1500,1000,800,0.0,110,1,n,4
1921,I1921,1500,800,800,729.0,110,0,n,4
4230,I4230,1500,800,800,0.0,110,0,n,4
2004,I2004,1500,1000,800,1355.0,110,1,n,4
3870,I3870,1500,1000,800,0.0,110,1,n,4
2750,I2750,1500,800,800,923.0,110,0,n,4
3873,I3873,1500,1000,800,712.0,110,1,n,4
3152,I3152,1500,1000,800,0.0,110,1,n,4
3861,I3861,1500,800,800,1375.0,110,0,n,4
3613,I3613,1500,800,800,1164.0,110,0,n,4
806,I0806,1500,800,800,1097.0,110,0,n,4
633,I0633,1500,1000,800,0.0,110,1,n,4
344,I0344,1500,1000,800,1028.0,110,1,n,4
1009,I1009,1500,800,800,0.0,110,0,n,4
533,I0533,1500,1000,800,0.0,110,1,n,4
619,I0619,1500,800,800,0.0,110,0,n,4
4467,I4467,1500,1000,800,0.0,110,1,n,4
2389,I2389,1500,800,800,1135.0,110,0,n,4
3296,I3296,1500,1000,800,0.0,110,1,n,4
1563,I1563,1500,1000,800,0.0,110,1,n,4
4481,I4481,1500,800,800,925.0,110,0,n,4
1958,I1958,1500,800,800,1280.0,110,0,n,4
683,I0683,1500,1000,800,1493.0,110,1,n,4
3104,I3104,1500,800,800,0.0,110,0,n,4
2744,I2744,1500,1000,800,1445.0,110,1,n,4
4265,I4265,1500,800,800,0.0,110,0,n,4
3030,I3030,1500,800,800,0.0,110,0,n,4
4749,I4749,1500,800,800,1254.0,110,0,n,4
2846,I2846,1500,1000,800,1203.0,110,1,n,4
3331,I3331,1500,1000,800,0.0,110,1,n,4
1067,I1067,1500,800,800,0.0,110,0,n,4
4036,I4036,1500,800,800,1267.0,110,0,n,4
1420,I1420,1500,1000,800,0.0,110,1,n,4
2536,I2536,1500,800,800,1112.0,110,0,n,4
717,I0717,1500,800,800,0.0,110,0,n,4
3077,I3077,1500,800,800,0.0,110,0,n,4
1283,I1283,1500,800,800,1210.0,110,0,n,4
3889,I3889,1500,1000,800,0.0,110,1,n,4
1190,I1190,1500,1000,800,0.0,110,1,n,4
3454,I3454,1500,800,800,0.0,110,0,n,4
4624,I4624,1500,800,800,1282.0,110,0,n,4
3364,I3364,1500,800,800,0.0,110,0,n,4
1084,I1084,1500,800,800,962.0,110,0,n,4
2832,I2832,1500,800,800,0.0,110,0,n,4
1830,I1830,1500,1000,800,705.0,110,1,n,4
1778,I1778,1500,1000,800,0.0,110,1,n,4
3926,I3926,1500,800,800,0.0,110,0,n,4
3238,I3238,1500,1000,800,1010.0,110,1,n,4
4705,I4705,1500,1000,800,1111.0,110,1,n,4
4125,I4125,1500,1000,800,895.0,110,1,n,4
1180,I1180,1500,1000,800,1467.0,110,1,n,4
2133,I2133,1500,800,800,1422.0,110,0,n,4
1898,I1898,1500,800,800,913.0,110,0,n,4
3766,I3766,1500,1000,800,0.0,110,1,n,4
1317,I1317,1500,1000,800,0.0,110,1,n,4
4556,I4556,1500,800,800,1252.0,110,0,n,4
2669,I2669,1500,800,800,0.0,110,0,n,4
3294,I3294,1500,800,800,0.0,110,0,n,4
2858,I2858,1500,1000,800,0.0,110,1,n,4
1421,I1421,1500,800,800,1427.0,110,0,n,4
4406,I4406,1500,1000,800,0.0,110,1,n,4
3013,I3013,1500,1000,800,1138.0,110,1,n,4
939,I0939,1500,800,800,1182.0,110,0,n,4
931,I0931,1500,800,800,1053.0,110,0,n,4
3931,I3931,1500,1000,800,950.0,110,1,n,4
2588,I2588,1500,1000,800,0.0,110,1,n,4
2410,I2410,1500,800,800,878.0,110,0,n,4
4194,I4194,1500,800,800,987.0,110,0,n,4
3407,I3407,1500,800,800,996.0,110,0,n,4
2831,I2831,1500,800,800,0.0,110,0,n,4
4890,I4890,1500,1000,800,0.0,110,1,n,4
3622,I3622,1500,800,800,946.0,110,0,n,4
4669,I4669,1500,1000,800,1107.0,110,1,n,4
1202,I1202,1500,1000,800,1122.0,110,1,n,4
580,I0580,1500,1000,800,1331.0,110,1,n,4
3647,I3647,1500,1000,800,1361.0,110,1,n,4
1203,I1203,1500,800,800,795.0,110,0,n,4
3159,I3159,1500,1000,800,0.0,110,1,n,4
60,I0060,1500,800,800,1457.0,110,0,n,4
1851,I1851,1500,1000,800,0.0,110,1,n,4
2937,I2937,1500,1000,800,939.0,110,1,n,4
3785,I3785,1500,800,800,0.0,110,0,n,4
680,I0680,1500,800,800,0.0,110,0,n,4
3977,I3977,1500,1000,800,0.0,110,1,n,4
3510,I3510,1500,1000,800,1231.0,110,1,n,4
4868,I4868,1500,1000,800,0.0,110,1,n,4
2073,I2073,1500,1000,800,0.0,110,1,n,4
