id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0000,1200,800,615,361.0,100,4,n,4
I0001,1500,800,615,183.0,100,5,n,4
I0002,800,460,615,153.0,100,0,n,3
I0003,1200,1000,615,346.0,100,6,n,4
I0004,800,500,615,305.0,100,1,n,3
I0005,800,600,615,416.0,100,2,n,3
I0006,1200,800,615,196.0,100,4,n,4
I0007,800,500,615,249.0,100,1,n,3
I0008,800,460,615,279.0,100,0,n,3
I0009,1200,800,615,170.0,100,4,n,4
I0010,1500,1000,615,336.0,100,7,n,4
I0011,1000,800,615,188.0,100,3,n,4
I0012,1200,1000,615,428.0,100,6,n,4
I0013,800,460,615,0.0,100,0,n,3
I0014,1500,1000,615,136.0,100,7,w,4
I0015,1000,800,615,154.0,100,3,l,4
I0016,1200,800,615,391.0,100,4,l,4
I0017,800,600,615,362.0,100,2,n,3
I0018,1200,800,615,135.0,100,4,n,4
I0019,1000,800,615,361.0,100,3,n,4
I0020,1000,800,615,171.0,100,3,l,4
I0021,800,500,615,274.0,100,1,n,3
I0022,1500,1000,615,337.0,100,7,n,4
I0023,800,500,615,204.0,100,1,n,3
I0024,800,460,615,405.0,100,0,w,3
I0025,800,600,615,338.0,100,2,n,3
I0026,1000,800,615,282.0,100,3,l,4
I0027,1500,800,615,231.0,100,5,n,4
I0028,1200,800,615,122.0,100,4,n,4
I0029,1500,800,615,441.0,100,5,n,4
I0030,1500,1000,615,101.0,100,7,n,4
I0031,800,500,615,324.0,100,1,l,3
I0032,800,460,615,456.0,100,0,l,3
I0033,800,460,615,196.0,100,0,n,3
I0034,1000,800,615,183.0,100,3,w,4
I0035,1500,1000,615,358.0,100,7,n,4
I0036,1200,800,615,195.0,100,4,n,4
I0037,800,500,615,0.0,100,1,n,3
I0038,1000,800,615,0.0,100,3,n,4
I0039,800,600,615,281.0,100,2,n,3
I0040,1000,800,615,326.0,100,3,n,4
I0041,1200,1000,615,339.0,100,6,n,4
I0042,800,500,615,357.0,100,1,n,3
I0043,800,600,615,315.0,100,2,n,3
I0044,1200,1000,615,0.0,100,6,n,4
I0045,1500,1000,615,351.0,100,7,w,4
I0046,1200,1000,615,419.0,100,6,w,4
I0047,1200,800,615,193.0,100,4,n,4
I0048,1500,1000,615,249.0,100,7,n,4
I0049,800,500,615,295.0,100,1,n,3
I0050,800,500,615,241.0,100,1,w,3
I0051,1500,800,615,172.0,100,5,n,4
I0052,1200,800,615,275.0,100,4,n,4
I0053,1200,1000,615,249.0,100,6,w,4
I0054,1000,800,615,247.0,100,3,n,4
I0055,1500,1000,615,250.0,100,7,n,4
I0056,1200,1000,615,175.0,100,6,n,4
I0057,800,600,615,340.0,100,2,n,3
I0058,1200,800,615,414.0,100,4,n,4
I0059,1500,800,615,287.0,100,5,n,4
I0060,1500,800,615,212.0,100,5,n,4
I0061,1200,800,615,216.0,100,4,n,4
I0062,800,500,615,373.0,100,1,n,3
I0063,1200,1000,615,101.0,100,6,n,4
I0064,800,500,615,404.0,100,1,n,3
I0065,800,600,615,312.0,100,2,n,3
I0066,800,600,615,256.0,100,2,w,3
I0067,1500,1000,615,408.0,100,7,n,4
I0068,800,460,615,402.0,100,0,n,3
I0069,1200,800,615,186.0,100,4,n,4
I0070,800,600,615,342.0,100,2,n,3
I0071,1000,800,615,201.0,100,3,l,4
I0072,1200,1000,615,283.0,100,6,l,4
I0073,800,500,615,333.0,100,1,n,3
I0074,1200,1000,615,286.0,100,6,n,4
I0075,1500,800,615,300.0,100,5,n,4
I0076,1200,800,615,335.0,100,4,n,4
I0077,800,500,615,0.0,100,1,n,3
I0078,1500,1000,615,161.0,100,7,n,4
I0079,1200,800,615,372.0,100,4,n,4
I0080,1500,1000,615,243.0,100,7,w,4
I0081,800,500,615,212.0,100,1,l,3
I0082,800,500,615,172.0,100,1,n,3
I0083,1000,800,615,418.0,100,3,n,4
I0084,1000,800,615,269.0,100,3,w,4
I0085,1000,800,615,465.0,100,3,n,4
I0086,800,600,615,112.0,100,2,n,3
I0087,1500,800,615,315.0,100,5,w,4
I0088,1500,1000,615,152.0,100,7,n,4
I0089,1500,1000,615,221.0,100,7,n,4
I0090,800,600,615,339.0,100,2,n,3
I0091,1200,1000,615,438.0,100,6,n,4
I0092,1500,800,615,356.0,100,5,n,4
I0093,1500,800,615,465.0,100,5,n,4
I0094,1200,1000,615,296.0,100,6,w,4
I0095,800,500,615,281.0,100,1,n,3
I0096,800,460,615,453.0,100,0,l,3
I0097,1000,800,615,0.0,100,3,n,4
I0098,1200,1000,615,347.0,100,6,n,4
I0099,800,460,615,416.0,100,0,l,3
I0100,1200,800,615,312.0,100,4,l,4
I0101,800,460,615,0.0,100,0,l,3
I0102,1200,1000,615,349.0,100,6,n,4
I0103,1000,800,615,400.0,100,3,l,4
I0104,1000,800,615,352.0,100,3,n,4
I0105,800,600,615,194.0,100,2,n,3
