,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
969,I0969,1500,800,615,410.0,100,5,n,4
1575,I1575,1500,800,615,346.0,100,5,n,4
1154,I1154,1200,800,615,261.0,100,4,n,4
5292,I5292,800,500,615,288.0,100,1,n,3
5423,I5423,1000,800,615,332.0,100,3,l,4
2832,I2832,800,500,615,235.0,100,1,n,3
6080,I6080,1200,800,615,377.0,100,4,n,4
554,I0554,1200,800,615,0.0,100,4,n,4
4776,I4776,1000,800,615,125.0,100,3,n,4
3500,I3500,1500,1000,615,260.0,100,7,n,4
1954,I1954,800,600,615,0.0,100,2,n,3
5067,I5067,800,600,615,323.0,100,2,w,3
3432,I3432,1200,1000,615,404.0,100,6,l,4
4917,I4917,1200,800,615,283.0,100,4,n,4
4125,I4125,800,600,615,284.0,100,2,w,3
2251,I2251,800,460,615,366.0,100,0,n,3
4694,I4694,1500,800,615,254.0,100,5,n,4
6290,I6290,800,600,615,375.0,100,2,l,3
530,I0530,800,600,615,364.0,100,2,n,3
6085,I6085,1500,1000,615,371.0,100,7,n,4
1148,I1148,1500,800,615,240.0,100,5,n,4
728,I0728,800,600,615,145.0,100,2,n,3
5166,I5166,1200,1000,615,230.0,100,6,n,4
4767,I4767,1500,800,615,380.0,100,5,n,4
6317,I6317,1200,1000,615,0.0,100,6,n,4
2642,I2642,800,500,615,237.0,100,1,n,3
5057,I5057,1500,1000,615,266.0,100,7,w,4
145,I0145,800,500,615,0.0,100,1,n,3
3234,I3234,1000,800,615,220.0,100,3,n,4
1185,I1185,1500,1000,615,0.0,100,7,n,4
1922,I1922,800,460,615,226.0,100,0,n,3
1910,I1910,800,500,615,356.0,100,1,n,3
6394,I6394,800,500,615,380.0,100,1,n,3
774,I0774,800,500,615,278.0,100,1,n,3
5912,I5912,800,500,615,269.0,100,1,w,3
4960,I4960,1500,800,615,0.0,100,5,n,4
5243,I5243,800,460,615,312.0,100,0,n,3
5774,I5774,800,500,615,268.0,100,1,n,3
420,I0420,1500,1000,615,145.0,100,7,n,4
2997,I2997,1200,800,615,370.0,100,4,n,4
4533,I4533,1000,800,615,430.0,100,3,l,4
1512,I1512,1200,1000,615,332.0,100,6,l,4
2016,I2016,1200,1000,615,326.0,100,6,n,4
4142,I4142,800,500,615,311.0,100,1,n,3
2024,I2024,1500,1000,615,185.0,100,7,l,4
1136,I1136,1500,1000,615,267.0,100,7,n,4
5195,I5195,800,600,615,148.0,100,2,n,3
6382,I6382,1000,800,615,178.0,100,3,l,4
2606,I2606,1200,800,615,391.0,100,4,n,4
3502,I3502,800,460,615,173.0,100,0,n,3
4340,I4340,800,460,615,147.0,100,0,n,3
2040,I2040,800,500,615,320.0,100,1,w,3
5882,I5882,800,500,615,271.0,100,1,n,3
6163,I6163,1500,1000,615,0.0,100,7,n,4
921,I0921,1500,1000,615,241.0,100,7,l,4
5053,I5053,1500,1000,615,0.0,100,7,n,4
5361,I5361,800,460,615,268.0,100,0,n,3
3352,I3352,800,500,615,188.0,100,1,n,3
1038,I1038,1200,1000,615,381.0,100,6,l,4
984,I0984,800,460,615,117.0,100,0,w,3
5430,I5430,1500,800,615,269.0,100,5,n,4
5982,I5982,1500,800,615,205.0,100,5,n,4
4236,I4236,1500,800,615,230.0,100,5,n,4
2270,I2270,1200,1000,615,401.0,100,6,n,4
609,I0609,1500,1000,615,0.0,100,7,n,4
3595,I3595,800,600,615,328.0,100,2,n,3
2863,I2863,800,500,615,0.0,100,1,n,3
1017,I1017,1200,800,615,308.0,100,4,n,4
1934,I1934,800,460,615,323.0,100,0,w,3
5534,I5534,1200,1000,615,134.0,100,6,n,4
3815,I3815,1200,1000,615,320.0,100,6,n,4
2715,I2715,800,460,615,92.0,100,0,n,3
4379,I4379,1200,800,615,0.0,100,4,n,4
1347,I1347,1200,800,615,331.0,100,4,n,4
97,I0097,1000,800,615,0.0,100,3,n,4
4413,I4413,800,460,615,184.0,100,0,l,3
4596,I4596,800,460,615,289.0,100,0,n,3
4393,I4393,1200,800,615,179.0,100,4,n,4
2132,I2132,1500,800,615,0.0,100,5,n,4
3073,I3073,800,460,615,301.0,100,0,n,3
2343,I2343,800,600,615,320.0,100,2,n,3
3718,I3718,1000,800,615,0.0,100,3,w,4
5880,I5880,1200,800,615,0.0,100,4,n,4
5175,I5175,1200,800,615,0.0,100,4,n,4
6225,I6225,1000,800,615,471.0,100,3,n,4
100,I0100,1200,800,615,312.0,100,4,l,4
4824,I4824,800,500,615,116.0,100,1,n,3
3810,I3810,800,500,615,399.0,100,1,n,3
5233,I5233,800,460,615,0.0,100,0,n,3
6222,I6222,1200,1000,615,188.0,100,6,l,4
4609,I4609,800,500,615,184.0,100,1,n,3
6126,I6126,1500,1000,615,407.0,100,7,w,4
249,I0249,1500,1000,615,330.0,100,7,n,4
1757,I1757,1200,1000,615,420.0,100,6,n,4
2532,I2532,1000,800,615,433.0,100,3,n,4
6104,I6104,800,500,615,392.0,100,1,l,3
353,I0353,800,460,615,341.0,100,0,n,3
1598,I1598,1500,800,615,0.0,100,5,l,4
1172,I1172,1200,1000,615,302.0,100,6,n,4
1572,I1572,800,460,615,255.0,100,0,n,3
4586,I4586,800,460,615,306.0,100,0,n,3
3332,I3332,800,500,615,295.0,100,1,n,3
5210,I5210,1500,800,615,229.0,100,5,n,4
1585,I1585,800,600,615,273.0,100,2,n,3
1603,I1603,1000,800,615,171.0,100,3,n,4
3737,I3737,800,600,615,228.0,100,2,n,3
4136,I4136,1200,800,615,233.0,100,4,n,4
908,I0908,1000,800,615,128.0,100,3,w,4
556,I0556,1200,800,615,155.0,100,4,n,4
740,I0740,1200,1000,615,222.0,100,6,n,4
4756,I4756,1200,800,615,0.0,100,4,n,4
3171,I3171,800,600,615,424.0,100,2,n,3
6307,I6307,1200,1000,615,402.0,100,6,w,4
438,I0438,1500,800,615,395.0,100,5,n,4
1901,I1901,1200,800,615,149.0,100,4,l,4
1660,I1660,800,500,615,416.0,100,1,n,3
2246,I2246,800,600,615,176.0,100,2,l,3
5308,I5308,800,460,615,193.0,100,0,n,3
1857,I1857,800,500,615,366.0,100,1,n,3
1447,I1447,800,460,615,0.0,100,0,n,3
5571,I5571,800,600,615,213.0,100,2,n,3
811,I0811,800,460,615,193.0,100,0,n,3
1066,I1066,1000,800,615,229.0,100,3,n,4
5893,I5893,1000,800,615,103.0,100,3,n,4
4593,I4593,800,460,615,0.0,100,0,n,3
5207,I5207,800,600,615,0.0,100,2,n,3
2551,I2551,800,460,615,299.0,100,0,l,3
6385,I6385,1500,1000,615,278.0,100,7,n,4
4882,I4882,800,460,615,0.0,100,0,l,3
6399,I6399,1500,800,615,98.0,100,5,n,4
2572,I2572,1500,1000,615,336.0,100,7,n,4
4004,I4004,1000,800,615,380.0,100,3,w,4
4106,I4106,1000,800,615,304.0,100,3,n,4
2353,I2353,1000,800,615,352.0,100,3,w,4
5396,I5396,1000,800,615,176.0,100,3,n,4
3893,I3893,1500,1000,615,255.0,100,7,n,4
2872,I2872,1500,1000,615,318.0,100,7,w,4
5846,I5846,1500,800,615,354.0,100,5,n,4
4890,I4890,800,500,615,275.0,100,1,n,3
890,I0890,1000,800,615,246.0,100,3,n,4
4414,I4414,800,500,615,153.0,100,1,n,3
2334,I2334,800,500,615,279.0,100,1,n,3
5771,I5771,800,600,615,323.0,100,2,n,3
3000,I3000,1200,800,615,338.0,100,4,n,4
6007,I6007,1200,1000,615,205.0,100,6,n,4
3777,I3777,800,600,615,0.0,100,2,n,3
5467,I5467,800,460,615,247.0,100,0,n,3
5358,I5358,1500,1000,615,233.0,100,7,l,4
618,I0618,800,460,615,202.0,100,0,n,3
5552,I5552,1500,800,615,348.0,100,5,n,4
810,I0810,1200,800,615,284.0,100,4,w,4
3098,I3098,1000,800,615,228.0,100,3,n,4
1134,I1134,1200,800,615,184.0,100,4,n,4
3743,I3743,1000,800,615,422.0,100,3,n,4
6151,I6151,800,500,615,274.0,100,1,n,3
3209,I3209,800,600,615,419.0,100,2,n,3
3144,I3144,1500,800,615,376.0,100,5,n,4
3725,I3725,1500,800,615,415.0,100,5,n,4
784,I0784,800,600,615,308.0,100,2,n,3
1119,I1119,1000,800,615,314.0,100,3,n,4
3549,I3549,1000,800,615,380.0,100,3,n,4
715,I0715,1500,1000,615,229.0,100,7,n,4
3681,I3681,1000,800,615,254.0,100,3,n,4
351,I0351,800,500,615,417.0,100,1,n,3
614,I0614,1500,1000,615,151.0,100,7,n,4
