id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0000,600,600,200,17.0,0,3,n,3
I0001,800,1200,2400,305.0,0,0,n,10
I0002,800,800,200,16.0,0,1,n,3
I0003,1200,1200,100,8.0,0,2,n,3
I0004,600,600,200,8.0,0,3,n,3
I0005,800,1200,2400,242.0,0,0,n,10
I0006,600,600,800,448.0,0,3,n,10
I0007,600,600,200,12.0,0,3,n,3
I0008,800,800,1200,589.0,0,1,n,10
I0009,800,1200,2400,296.0,0,0,n,10
I0010,1200,1200,2500,261.0,0,2,n,10
I0011,800,800,1200,385.0,0,1,n,10
I0012,800,1200,200,15.0,0,0,n,3
I0013,800,1200,200,15.0,0,0,n,3
I0014,600,600,200,12.0,0,3,n,3
I0015,800,1200,200,11.0,0,0,n,3
I0016,800,800,1200,183.0,0,1,n,10
I0017,800,800,200,13.0,0,1,n,3
I0018,600,600,200,4.0,0,3,n,3
I0019,600,600,200,15.0,0,3,n,3
I0020,800,800,1200,428.0,0,1,n,10
I0021,800,1200,200,12.0,0,0,n,3
I0022,800,1200,200,10.0,0,0,n,3
I0023,1200,1200,100,12.0,0,2,n,3
I0024,1200,1200,2500,287.0,0,2,n,10
I0025,600,600,800,423.0,0,3,n,10
I0026,800,800,1200,655.0,0,1,n,10
I0027,600,600,800,289.0,0,3,n,10
I0028,800,800,1200,608.0,0,1,n,10
I0029,600,600,800,724.0,0,3,n,10
I0030,600,600,200,5.0,0,3,n,3
I0031,800,800,1200,350.0,0,1,n,10
I0032,1200,1200,100,8.0,0,2,n,3
I0033,800,800,200,13.0,0,1,n,3
I0034,800,800,1200,438.0,0,1,n,10
I0035,600,600,800,389.0,0,3,n,10
I0036,800,1200,2400,205.0,0,0,n,10
I0037,600,600,200,12.0,0,3,n,3
I0038,800,800,1200,368.0,0,1,n,10
I0039,800,1200,200,17.0,0,0,n,3
I0040,600,600,800,224.0,0,3,n,10
I0041,600,600,200,13.0,0,3,n,3
I0042,800,800,200,7.0,0,1,n,3
I0043,800,1200,2400,165.0,0,0,n,10
I0044,800,800,1200,141.0,0,1,n,10
I0045,800,1200,200,10.0,0,0,n,3
I0046,800,1200,2400,535.0,0,0,n,10
I0047,800,800,1200,695.0,0,1,n,10
I0048,800,800,200,5.0,0,1,n,3
I0049,600,600,800,606.0,0,3,n,10
I0050,800,800,1200,430.0,0,1,n,10
I0051,1200,1200,2500,479.0,0,2,n,10
I0052,600,600,800,402.0,0,3,n,10
I0053,800,800,200,14.0,0,1,n,3
I0054,800,800,1200,279.0,0,1,n,10
I0055,800,1200,2400,214.0,0,0,n,10
I0056,1200,1200,2500,182.0,0,2,n,10
I0057,1200,1200,2500,452.0,0,2,n,10
I0058,1200,1200,100,11.0,0,2,n,3
I0059,800,1200,200,14.0,0,0,n,3
I0060,1200,1200,100,5.0,0,2,n,3
I0061,1200,1200,100,10.0,0,2,n,3
I0062,1200,1200,2500,352.0,0,2,n,10
I0063,600,600,200,17.0,0,3,n,3
I0064,800,800,200,5.0,0,1,n,3
I0065,1200,1200,2500,495.0,0,2,n,10
I0066,600,600,200,17.0,0,3,n,3
I0067,1200,1200,100,15.0,0,2,n,3
I0068,600,600,800,159.0,0,3,n,10
I0069,800,800,1200,250.0,0,1,n,10
I0070,800,1200,200,18.0,0,0,n,3
I0071,600,600,800,317.0,0,3,n,10
I0072,1200,1200,2500,781.0,0,2,n,10
I0073,600,600,800,205.0,0,3,n,10
I0074,800,1200,200,13.0,0,0,n,3
I0075,600,600,800,218.0,0,3,n,10
I0076,800,1200,200,12.0,0,0,n,3
I0077,800,1200,2400,512.0,0,0,n,10
I0078,1200,1200,2500,383.0,0,2,n,10
I0079,600,600,200,4.0,0,3,n,3
I0080,800,800,1200,219.0,0,1,n,10
I0081,1200,1200,100,12.0,0,2,n,3
I0082,600,600,200,10.0,0,3,n,3
I0083,1200,1200,2500,262.0,0,2,n,10
I0084,800,800,1200,541.0,0,1,n,10
I0085,800,1200,200,6.0,0,0,n,3
I0086,800,800,200,5.0,0,1,n,3
I0087,800,1200,200,10.0,0,0,n,3
I0088,600,600,800,521.0,0,3,n,10
I0089,1200,1200,100,10.0,0,2,n,3
I0090,1200,1200,100,13.0,0,2,n,3
I0091,800,1200,2400,162.0,0,0,n,10
I0092,1200,1200,100,8.0,0,2,n,3
I0093,800,1200,200,9.0,0,0,n,3
I0094,800,1200,2400,327.0,0,0,n,10
I0095,800,1200,200,12.0,0,0,n,3
