,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
3120,I3120,1200,1200,100,6.0,0,2,n,3
2410,I2410,800,1200,200,9.0,0,0,n,3
839,I0839,600,600,200,6.0,0,3,n,3
1312,I1312,800,800,200,9.0,0,1,n,3
1401,I1401,800,800,200,10.0,0,1,n,3
1409,I1409,1200,1200,100,11.0,0,2,n,3
873,I0873,1200,1200,100,9.0,0,2,n,3
2436,I2436,800,800,200,10.0,0,1,n,3
3902,I3902,800,1200,200,17.0,0,0,n,3
2419,I2419,600,600,200,11.0,0,3,n,3
3282,I3282,1200,1200,100,10.0,0,2,n,3
3177,I3177,600,600,200,16.0,0,3,n,3
3235,I3235,600,600,200,11.0,0,3,n,3
347,I0347,800,1200,2400,336.0,0,0,n,10
3241,I3241,600,600,800,400.0,0,3,n,10
3122,I3122,600,600,200,6.0,0,3,n,3
2038,I2038,800,800,1200,355.0,0,1,n,10
2850,I2850,800,1200,200,16.0,0,0,n,3
603,I0603,1200,1200,100,13.0,0,2,n,3
2698,I2698,600,600,200,17.0,0,3,n,3
269,I0269,1200,1200,2500,583.0,0,2,n,10
1773,I1773,800,800,200,4.0,0,1,n,3
2614,I2614,1200,1200,100,9.0,0,2,n,3
2642,I2642,800,800,1200,539.0,0,1,n,10
1255,I1255,1200,1200,2500,466.0,0,2,n,10
304,I0304,800,800,200,16.0,0,1,n,3
271,I0271,600,600,200,16.0,0,3,n,3
3548,I3548,600,600,200,9.0,0,3,n,3
3924,I3924,800,1200,2400,282.0,0,0,n,10
2041,I2041,800,1200,200,8.0,0,0,n,3
1095,I1095,1200,1200,2500,472.0,0,2,n,10
832,I0832,1200,1200,2500,627.0,0,2,n,10
2917,I2917,800,800,200,9.0,0,1,n,3
1508,I1508,800,1200,200,9.0,0,0,n,3
945,I0945,600,600,800,369.0,0,3,n,10
2039,I2039,600,600,200,13.0,0,3,n,3
1246,I1246,600,600,800,222.0,0,3,n,10
3838,I3838,800,800,1200,689.0,0,1,n,10
401,I0401,1200,1200,2500,485.0,0,2,n,10
766,I0766,600,600,800,621.0,0,3,n,10
2305,I2305,1200,1200,100,6.0,0,2,n,3
3298,I3298,800,1200,2400,513.0,0,0,n,10
3161,I3161,800,800,1200,374.0,0,1,n,10
73,I0073,600,600,800,205.0,0,3,n,10
606,I0606,800,1200,2400,640.0,0,0,n,10
3137,I3137,800,1200,200,13.0,0,0,n,3
1203,I1203,800,800,200,8.0,0,1,n,3
2124,I2124,800,1200,200,14.0,0,0,n,3
109,I0109,800,800,200,13.0,0,1,n,3
1040,I1040,1200,1200,2500,480.0,0,2,n,10
1403,I1403,800,800,1200,223.0,0,1,n,10
594,I0594,600,600,200,11.0,0,3,n,3
1986,I1986,800,1200,200,8.0,0,0,n,3
2467,I2467,1200,1200,100,10.0,0,2,n,3
2138,I2138,800,800,200,13.0,0,1,n,3
192,I0192,800,1200,2400,317.0,0,0,n,10
3207,I3207,600,600,800,635.0,0,3,n,10
582,I0582,600,600,200,12.0,0,3,n,3
111,I0111,1200,1200,100,8.0,0,2,n,3
1211,I1211,600,600,200,10.0,0,3,n,3
968,I0968,800,1200,2400,178.0,0,0,n,10
3336,I3336,1200,1200,100,13.0,0,2,n,3
3997,I3997,800,800,200,12.0,0,1,n,3
460,I0460,800,1200,2400,718.0,0,0,n,10
3990,I3990,800,800,200,16.0,0,1,n,3
808,I0808,800,1200,2400,596.0,0,0,n,10
2350,I2350,800,1200,200,18.0,0,0,n,3
2891,I2891,1200,1200,2500,673.0,0,2,n,10
2905,I2905,1200,1200,2500,481.0,0,2,n,10
3263,I3263,600,600,800,403.0,0,3,n,10
1620,I1620,600,600,800,340.0,0,3,n,10
258,I0258,800,1200,200,7.0,0,0,n,3
2267,I2267,800,1200,200,7.0,0,0,n,3
825,I0825,800,1200,200,12.0,0,0,n,3
881,I0881,800,1200,200,7.0,0,0,n,3
3822,I3822,600,600,800,486.0,0,3,n,10
1042,I1042,600,600,200,14.0,0,3,n,3
3982,I3982,800,1200,2400,516.0,0,0,n,10
2220,I2220,800,800,200,5.0,0,1,n,3
3787,I3787,800,1200,200,16.0,0,0,n,3
1447,I1447,1200,1200,100,11.0,0,2,n,3
243,I0243,600,600,800,534.0,0,3,n,10
3453,I3453,800,1200,200,19.0,0,0,n,3
107,I0107,1200,1200,2500,324.0,0,2,n,10
579,I0579,800,800,200,6.0,0,1,n,3
3917,I3917,800,800,1200,571.0,0,1,n,10
2487,I2487,800,800,1200,512.0,0,1,n,10
2145,I2145,800,800,200,11.0,0,1,n,3
