,id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
190,I0190,1400,1200,1450,179.4,45,3,n,100
175,I0175,1400,1200,1450,179.4,45,3,n,100
462,I0462,1200,1000,975,577.8,45,1,n,100
152,I0152,1400,1200,1450,179.4,45,3,n,100
233,I0233,1400,1200,1450,179.4,45,3,n,100
475,I0475,1200,1000,975,183.84,45,1,n,100
105,I0105,1400,1200,1450,179.4,45,3,n,100
347,I0347,1600,1200,930,547.3,45,4,n,100
135,I0135,1400,1200,1450,179.4,45,3,n,100
265,I0265,1200,1000,975,165.375,45,1,n,100
380,I0380,1600,1200,930,277.828,45,4,n,100
356,I0356,1200,1000,975,156.15,45,1,n,100
197,I0197,1400,1200,1450,179.4,45,3,n,100
63,I0063,1600,1200,1350,303.92,45,4,n,100
199,I0199,1400,1200,1450,179.4,45,3,n,100
499,I0499,1600,1200,1350,205.16,45,4,n,100
154,I0154,1400,1200,1450,179.4,45,3,n,100
457,I0457,1600,1200,930,454.873,45,4,n,100
222,I0222,1400,1200,1450,179.4,45,3,n,100
466,I0466,1600,1200,1350,207.72,45,4,n,100
194,I0194,1400,1200,1450,179.4,45,3,n,100
137,I0137,1400,1200,1450,179.4,45,3,n,100
36,I0036,1400,1200,1450,179.4,45,3,n,100
49,I0049,1400,1200,1450,179.4,45,3,n,100
486,I0486,1600,1200,1350,303.92,45,4,n,100
296,I0296,1900,1200,750,845.38,45,5,n,100
203,I0203,1400,1200,1450,179.4,45,3,n,100
281,I0281,1200,1000,975,577.8,45,1,n,100
156,I0156,1600,1200,1350,207.72,45,4,n,100
271,I0271,780,570,478,96.256,47,0,w,4
128,I0128,1400,1200,1450,179.4,45,3,n,100
262,I0262,1200,1000,930,324.1,45,1,n,100
162,I0162,1600,1200,1350,207.72,45,4,n,100
28,I0028,1400,1200,1450,179.4,45,3,n,100
198,I0198,1400,1200,1450,179.4,45,3,n,100
89,I0089,1600,1200,1350,303.92,45,4,n,100
395,I0395,1400,1225,1160,317.0,0,2,n,100
358,I0358,1200,1000,975,156.15,45,1,n,100
246,I0246,1400,1200,1450,179.4,45,3,n,100
323,I0323,1400,1200,1450,179.4,45,3,n,100
59,I0059,1600,1200,1350,303.92,45,4,n,100
34,I0034,1400,1200,1450,179.4,45,3,n,100
23,I0023,780,570,478,100.96,47,0,w,4
398,I0398,1400,1225,1160,317.0,0,2,n,100
208,I0208,1600,1200,930,438.4,45,4,n,100
201,I0201,1400,1200,1450,179.4,45,3,n,100
