id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I01,348,220,1,1,0,1,l,1
I02,255,184,1,1,0,2,l,1
I03,191,249,1,1,0,3,l,1
I04,212,194,1,1,0,4,l,1
I05,348,322,1,1,0,5,l,1
I06,171,369,1,1,0,6,l,1
I07,206,327,1,1,0,7,l,1
I08,221,277,1,1,0,8,l,1
I09,250,202,1,1,0,9,l,1
I10,205,226,1,1,0,10,l,1
I11,193,280,1,1,0,11,l,1
I12,364,311,1,1,0,12,l,1
I13,264,224,1,1,0,13,l,1
I14,244,347,1,1,0,14,l,1
I15,270,338,1,1,0,15,l,1
I16,224,236,1,1,0,16,l,1
I17,168,177,1,1,0,17,l,1
I18,285,347,1,1,0,18,l,1
I19,315,294,1,1,0,19,l,1
I20,247,219,1,1,0,20,l,1
I21,315,302,1,1,0,21,l,1
I22,129,147,1,1,0,22,l,1
I23,268,273,1,1,0,23,l,1
I24,350,352,1,1,0,24,l,1
I25,186,258,1,1,0,25,l,1
I26,365,374,1,1,0,26,l,1
I27,145,259,1,1,0,27,l,1
I28,284,184,1,1,0,28,l,1
I29,129,198,1,1,0,29,l,1
I30,146,351,1,1,0,30,l,1
