id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I01,3,2,1,1,0,1,l,1
I02,3,2,1,1,0,2,l,1
I03,7,2,1,1,0,3,l,1
I04,7,2,1,1,0,4,l,1
I05,7,2,1,1,0,5,l,1
I06,4,5,1,1,0,6,l,1
I07,4,5,1,1,0,7,l,1
I08,4,1,1,1,0,8,l,1
I09,4,1,1,1,0,9,l,1
I10,1,10,1,1,0,10,l,1
I11,8,4,1,1,0,11,l,1
I12,4,2,1,1,0,12,l,1
I13,4,2,1,1,0,13,l,1
I14,3,7,1,1,0,14,l,1
I15,3,7,1,1,0,15,l,1
I16,3,7,1,1,0,16,l,1
I17,6,2,1,1,0,17,l,1
I18,6,2,1,1,0,18,l,1
I19,6,2,1,1,0,19,l,1
I20,9,1,1,1,0,20,l,1
I21,9,1,1,1,0,21,l,1
