id_item,length,width,height,weight,nesting_height,stackability_code,forced_orientation,max_stackability
I0,3,6,8,0,0,0,n,100
I1,3,6,8,0,0,0,n,100
I2,3,6,8,0,0,0,n,100
I3,3,6,8,0,0,0,n,100
I4,3,6,8,0,0,0,n,100
I5,3,6,8,0,0,0,n,100
I6,3,6,8,0,0,0,n,100
I7,3,6,8,0,0,0,n,100
I8,3,6,8,0,0,0,n,100
I9,3,6,8,0,0,0,n,100
I10,3,6,8,0,0,0,n,100
I11,3,6,8,0,0,0,n,100
I12,3,6,8,0,0,0,n,100
I13,3,6,8,0,0,0,n,100
I14,3,6,8,0,0,0,n,100
I15,3,6,8,0,0,0,n,100
I16,3,6,8,0,0,0,n,100
I17,3,6,8,0,0,0,n,100
I18,3,6,8,0,0,0,n,100
I19,3,6,8,0,0,0,n,100
I20,3,6,8,0,0,0,n,100
I21,3,6,8,0,0,0,n,100
I22,3,6,8,0,0,0,n,100
I23,3,6,8,0,0,0,n,100
I24,3,6,8,0,0,0,n,100
I25,3,6,8,0,0,0,n,100
I26,3,6,8,0,0,0,n,100
I27,3,6,8,0,0,0,n,100
I28,3,6,8,0,0,0,n,100
I29,3,6,8,0,0,0,n,100
I30,3,6,8,0,0,0,n,100
I31,3,6,8,0,0,0,n,100
I32,3,6,8,0,0,0,n,100
I33,3,6,8,0,0,0,n,100
I34,3,6,8,0,0,0,n,100
I35,5,9,4,0,0,1,n,100
I36,5,9,4,0,0,1,n,100
I37,5,9,4,0,0,1,n,100
I38,5,9,4,0,0,1,n,100
I39,5,9,4,0,0,1,n,100
I40,5,9,4,0,0,1,n,100
I41,5,9,4,0,0,1,n,100
I42,5,9,4,0,0,1,n,100
I43,5,9,4,0,0,1,n,100
I44,5,9,4,0,0,1,n,100
I45,5,9,4,0,0,1,n,100
I46,5,9,4,0,0,1,n,100
I47,5,9,4,0,0,1,n,100
I48,5,9,4,0,0,1,n,100
I49,5,9,4,0,0,1,n,100
I50,5,9,4,0,0,1,n,100
I51,5,9,4,0,0,1,n,100
I52,5,9,4,0,0,1,n,100
I53,5,9,4,0,0,1,n,100
I54,5,9,4,0,0,1,n,100
I55,5,9,4,0,0,1,n,100
I56,5,9,4,0,0,1,n,100
I57,5,9,4,0,0,1,n,100
I58,5,9,4,0,0,1,n,100
I59,5,9,4,0,0,1,n,100
I60,5,9,4,0,0,1,n,100
I61,5,9,4,0,0,1,n,100
I62,5,9,4,0,0,1,n,100
I63,5,9,4,0,0,1,n,100
I64,5,9,4,0,0,1,n,100
I65,5,9,4,0,0,1,n,100
I66,5,9,4,0,0,1,n,100
I67,5,9,4,0,0,1,n,100
I68,5,9,4,0,0,1,n,100
I69,5,9,4,0,0,1,n,100
I70,5,9,4,0,0,1,n,100
I71,5,9,4,0,0,1,n,100
I72,5,9,4,0,0,1,n,100
I73,5,9,4,0,0,1,n,100
I74,5,9,4,0,0,1,n,100
I75,8,9,12,0,0,2,n,100
I76,8,9,12,0,0,2,n,100
I77,8,9,12,0,0,2,n,100
I78,8,9,12,0,0,2,n,100
I79,8,9,12,0,0,2,n,100
I80,8,9,12,0,0,2,n,100
I81,8,9,12,0,0,2,n,100
I82,8,9,12,0,0,2,n,100
I83,8,9,12,0,0,2,n,100
I84,8,9,12,0,0,2,n,100
I85,8,9,12,0,0,2,n,100
I86,8,9,12,0,0,2,n,100
I87,8,9,12,0,0,2,n,100
I88,8,9,12,0,0,2,n,100
I89,8,9,12,0,0,2,n,100
